reporting_unit,contest,candidate,votes,county,ctv,municipality
"VILLAGE OF CALEDONIA, WARDS 3",COUNTY CLERK (VOTE FOR 1),UNRESOLVED WRITE-IN,16,RACINE,V,CALEDONIA
"VILLAGE OF CALEDONIA, WARDS 4- 5",COUNTY CLERK (VOTE FOR 1),UNRESOLVED WRITE-IN,19,RACINE,V,CALEDONIA
"VILLAGE OF CALEDONIA, WARDS 6- 7",COUNTY CLERK (VOTE FOR 1),UNRESOLVED WRITE-IN,19,RACINE,V,CALEDONIA
"VILLAGE OF CALEDONIA, WARDS 8, 20 - 21",COUNTY CLERK (VOTE FOR 1),UNRESOLVED WRITE-IN,41,RACINE,V,CALEDONIA
"VILLAGE OF CALEDONIA, WARDS 9- 10, 12 - 13",COUNTY CLERK (VOTE FOR 1),UNRESOLVED WRITE-IN,98,RACINE,V,CALEDONIA
"VILLAGE OF CALEDONIA, WARDS 11, 14 - 15, 17",COUNTY CLERK (VOTE FOR 1),UNRESOLVED WRITE-IN,61,RACINE,V,CALEDONIA
"VILLAGE OF CALEDONIA, WARDS 16, 18 - 19",COUNTY CLERK (VOTE FOR 1),UNRESOLVED WRITE-IN,27,RACINE,V,CALEDONIA
"VILLAGE OF ELMWOOD PARK, WARD 1",COUNTY CLERK (VOTE FOR 1),UNRESOLVED WRITE-IN,4,RACINE,V,ELMWOOD PARK
"VILLAGE OF MT. PLEASANT, WARDS 1, 10, 12, 15 - 16",COUNTY CLERK (VOTE FOR 1),UNRESOLVED WRITE-IN,0,RACINE,V,MT. PLEASANT
"VILLAGE OF MT. PLEASANT, WARDS 2 - 3, 11, 17 - 18",COUNTY CLERK (VOTE FOR 1),UNRESOLVED WRITE-IN,0,RACINE,V,MT. PLEASANT
"VILLAGE OF MT. PLEASANT, WARD 4",COUNTY CLERK (VOTE FOR 1),UNRESOLVED WRITE-IN,0,RACINE,V,MT. PLEASANT
"VILLAGE OF MT. PLEASANT, WARDS 5 - 6, 25",COUNTY CLERK (VOTE FOR 1),WENDY M. CHRISTENSEN (REP),0,RACINE,V,MT. PLEASANT
"VILLAGE OF MT. PLEASANT, WARDS 5 - 6, 25",COUNTY CLERK (VOTE FOR 1),WRITE-IN,0,RACINE,V,MT. PLEASANT
"VILLAGE OF MT. PLEASANT, WARDS 7 - 8",COUNTY CLERK (VOTE FOR 1),WENDY M. CHRISTENSEN (REP),0,RACINE,V,MT. PLEASANT
"VILLAGE OF MT. PLEASANT, WARDS 7 - 8",COUNTY CLERK (VOTE FOR 1),WRITE-IN,0,RACINE,V,MT. PLEASANT
"VILLAGE OF MT. PLEASANT, WARDS 9, 13 - 14, 24",COUNTY CLERK (VOTE FOR 1),WENDY M. CHRISTENSEN (REP),0,RACINE,V,MT. PLEASANT
"VILLAGE OF MT. PLEASANT, WARDS 9, 13 - 14, 24",COUNTY CLERK (VOTE FOR 1),WRITE-IN,0,RACINE,V,MT. PLEASANT
"VILLAGE OF MT. PLEASANT, WARDS 19 - 23",COUNTY CLERK (VOTE FOR 1),WENDY M. CHRISTENSEN (REP),0,RACINE,V,MT. PLEASANT
"VILLAGE OF MT. PLEASANT, WARDS 19 - 23",COUNTY CLERK (VOTE FOR 1),WRITE-IN,0,RACINE,V,MT. PLEASANT
"VILLAGE OF NORTH BAY, WARD 1",COUNTY CLERK (VOTE FOR 1),WENDY M. CHRISTENSEN (REP),120,RACINE,V,NORTH BAY
"VILLAGE OF NORTH BAY, WARD 1",COUNTY CLERK (VOTE FOR 1),WRITE-IN,5,RACINE,V,NORTH BAY
"VILLAGE OF RAYMOND, WARDS 1- 6",COUNTY CLERK (VOTE FOR 1),WENDY M. CHRISTENSEN (REP),2248,RACINE,V,RAYMOND
"VILLAGE OF RAYMOND, WARDS 1- 6",COUNTY CLERK (VOTE FOR 1),WRITE-IN,34,RACINE,V,RAYMOND
"VILLAGE OF ROCHESTER, WARDS 1- 6",COUNTY CLERK (VOTE FOR 1),WENDY M. CHRISTENSEN (REP),2143,RACINE,V,ROCHESTER
"VILLAGE OF ROCHESTER, WARDS 1- 6",COUNTY CLERK (VOTE FOR 1),WRITE-IN,22,RACINE,V,ROCHESTER
"VILLAGE OF STURTEVANT, WARDS 1 - 8",COUNTY CLERK (VOTE FOR 1),WENDY M. CHRISTENSEN (REP),2267,RACINE,V,STURTEVANT
"VILLAGE OF STURTEVANT, WARDS 1 - 8",COUNTY CLERK (VOTE FOR 1),WRITE-IN,57,RACINE,V,STURTEVANT
"VILLAGE OF UNION GROVE, WARDS 1 - 7",COUNTY CLERK (VOTE FOR 1),WENDY M. CHRISTENSEN (REP),2382,RACINE,V,UNION GROVE
"VILLAGE OF UNION GROVE, WARDS 1 - 7",COUNTY CLERK (VOTE FOR 1),WRITE-IN,39,RACINE,V,UNION GROVE
"VILLAGE OF WATERFORD, WARDS 1 - 10",COUNTY CLERK (VOTE FOR 1),WENDY M. CHRISTENSEN (REP),3048,RACINE,V,WATERFORD
"VILLAGE OF WATERFORD, WARDS 1 - 10",COUNTY CLERK (VOTE FOR 1),WRITE-IN,44,RACINE,V,WATERFORD
"VILLAGE OF WIND POINT, WARDS 1 - 3",COUNTY CLERK (VOTE FOR 1),WENDY M. CHRISTENSEN (REP),835,RACINE,V,WIND POINT
"VILLAGE OF WIND POINT, WARDS 1 - 3",COUNTY CLERK (VOTE FOR 1),WRITE-IN,30,RACINE,V,WIND POINT
"VILLAGE OF YORKVILLE, WARDS 1 - 5",COUNTY CLERK (VOTE FOR 1),WENDY M. CHRISTENSEN (REP),1766,RACINE,V,YORKVILLE
"VILLAGE OF YORKVILLE, WARDS 1 - 5",COUNTY CLERK (VOTE FOR 1),WRITE-IN,13,RACINE,V,YORKVILLE
"CITY OF BURLINGTON, WARDS 1 - 4",COUNTY CLERK (VOTE FOR 1),WENDY M. CHRISTENSEN (REP),2046,RACINE,C,BURLINGTON
"CITY OF BURLINGTON, WARDS 1 - 4",COUNTY CLERK (VOTE FOR 1),WRITE-IN,47,RACINE,C,BURLINGTON
"CITY OF BURLINGTON, WARDS 5 - 8",COUNTY CLERK (VOTE FOR 1),WENDY M. CHRISTENSEN (REP),2453,RACINE,C,BURLINGTON
"CITY OF BURLINGTON, WARDS 5 - 8",COUNTY CLERK (VOTE FOR 1),WRITE-IN,55,RACINE,C,BURLINGTON
"CITY OF RACINE, WARD 1",COUNTY CLERK (VOTE FOR 1),WENDY M. CHRISTENSEN (REP),0,RACINE,C,RACINE
"CITY OF RACINE, WARD 1",COUNTY CLERK (VOTE FOR 1),WRITE-IN,0,RACINE,C,RACINE
"CITY OF RACINE, WARD 2",COUNTY CLERK (VOTE FOR 1),WENDY M. CHRISTENSEN (REP),0,RACINE,C,RACINE
"CITY OF RACINE, WARD 2",COUNTY CLERK (VOTE FOR 1),WRITE-IN,0,RACINE,C,RACINE
"CITY OF RACINE, WARD 3",COUNTY CLERK (VOTE FOR 1),WENDY M. CHRISTENSEN (REP),0,RACINE,C,RACINE
"CITY OF RACINE, WARD 3",COUNTY CLERK (VOTE FOR 1),WRITE-IN,0,RACINE,C,RACINE
"CITY OF RACINE, WARD 4",COUNTY CLERK (VOTE FOR 1),WENDY M. CHRISTENSEN (REP),0,RACINE,C,RACINE
"CITY OF RACINE, WARD 4",COUNTY CLERK (VOTE FOR 1),WRITE-IN,0,RACINE,C,RACINE
"CITY OF RACINE, WARD 5",COUNTY CLERK (VOTE FOR 1),WENDY M. CHRISTENSEN (REP),0,RACINE,C,RACINE
"CITY OF RACINE, WARD 5",COUNTY CLERK (VOTE FOR 1),WRITE-IN,0,RACINE,C,RACINE
"CITY OF RACINE, WARD 6",COUNTY CLERK (VOTE FOR 1),WENDY M. CHRISTENSEN (REP),0,RACINE,C,RACINE
"CITY OF RACINE, WARD 6",COUNTY CLERK (VOTE FOR 1),WRITE-IN,0,RACINE,C,RACINE
"CITY OF RACINE, WARD 7",COUNTY CLERK (VOTE FOR 1),WENDY M. CHRISTENSEN (REP),0,RACINE,C,RACINE
"CITY OF RACINE, WARD 7",COUNTY CLERK (VOTE FOR 1),WRITE-IN,0,RACINE,C,RACINE
"CITY OF RACINE, WARD 8",COUNTY CLERK (VOTE FOR 1),WENDY M. CHRISTENSEN (REP),0,RACINE,C,RACINE
"CITY OF RACINE, WARD 8",COUNTY CLERK (VOTE FOR 1),WRITE-IN,0,RACINE,C,RACINE
"CITY OF RACINE, WARD 9",COUNTY CLERK (VOTE FOR 1),WENDY M. CHRISTENSEN (REP),0,RACINE,C,RACINE
"CITY OF RACINE, WARD 9",COUNTY CLERK (VOTE FOR 1),WRITE-IN,0,RACINE,C,RACINE
"VILLAGE OF MT. PLEASANT, WARDS 5 - 6, 25",COUNTY CLERK (VOTE FOR 1),UNRESOLVED WRITE-IN,0,RACINE,V,MT. PLEASANT
"VILLAGE OF MT. PLEASANT, WARDS 7 - 8",COUNTY CLERK (VOTE FOR 1),UNRESOLVED WRITE-IN,0,RACINE,V,MT. PLEASANT
"VILLAGE OF MT. PLEASANT, WARDS 9, 13 - 14, 24",COUNTY CLERK (VOTE FOR 1),UNRESOLVED WRITE-IN,0,RACINE,V,MT. PLEASANT
"VILLAGE OF MT. PLEASANT, WARDS 19 - 23",COUNTY CLERK (VOTE FOR 1),UNRESOLVED WRITE-IN,0,RACINE,V,MT. PLEASANT
"VILLAGE OF NORTH BAY, WARD 1",COUNTY CLERK (VOTE FOR 1),UNRESOLVED WRITE-IN,5,RACINE,V,NORTH BAY
"VILLAGE OF RAYMOND, WARDS 1- 6",COUNTY CLERK (VOTE FOR 1),UNRESOLVED WRITE-IN,34,RACINE,V,RAYMOND
"VILLAGE OF ROCHESTER, WARDS 1- 6",COUNTY CLERK (VOTE FOR 1),UNRESOLVED WRITE-IN,22,RACINE,V,ROCHESTER
"VILLAGE OF STURTEVANT, WARDS 1 - 8",COUNTY CLERK (VOTE FOR 1),UNRESOLVED WRITE-IN,57,RACINE,V,STURTEVANT
"VILLAGE OF UNION GROVE, WARDS 1 - 7",COUNTY CLERK (VOTE FOR 1),UNRESOLVED WRITE-IN,39,RACINE,V,UNION GROVE
"VILLAGE OF WATERFORD, WARDS 1 - 10",COUNTY CLERK (VOTE FOR 1),UNRESOLVED WRITE-IN,44,RACINE,V,WATERFORD
"VILLAGE OF WIND POINT, WARDS 1 - 3",COUNTY CLERK (VOTE FOR 1),UNRESOLVED WRITE-IN,30,RACINE,V,WIND POINT
"VILLAGE OF YORKVILLE, WARDS 1 - 5",COUNTY CLERK (VOTE FOR 1),UNRESOLVED WRITE-IN,13,RACINE,V,YORKVILLE
"CITY OF BURLINGTON, WARDS 1 - 4",COUNTY CLERK (VOTE FOR 1),UNRESOLVED WRITE-IN,47,RACINE,C,BURLINGTON
"CITY OF BURLINGTON, WARDS 5 - 8",COUNTY CLERK (VOTE FOR 1),UNRESOLVED WRITE-IN,55,RACINE,C,BURLINGTON
"CITY OF RACINE, WARD 1",COUNTY CLERK (VOTE FOR 1),UNRESOLVED WRITE-IN,0,RACINE,C,RACINE
"CITY OF RACINE, WARD 2",COUNTY CLERK (VOTE FOR 1),UNRESOLVED WRITE-IN,0,RACINE,C,RACINE
"CITY OF RACINE, WARD 3",COUNTY CLERK (VOTE FOR 1),UNRESOLVED WRITE-IN,0,RACINE,C,RACINE
"CITY OF RACINE, WARD 4",COUNTY CLERK (VOTE FOR 1),UNRESOLVED WRITE-IN,0,RACINE,C,RACINE
"CITY OF RACINE, WARD 5",COUNTY CLERK (VOTE FOR 1),UNRESOLVED WRITE-IN,0,RACINE,C,RACINE
"CITY OF RACINE, WARD 6",COUNTY CLERK (VOTE FOR 1),UNRESOLVED WRITE-IN,0,RACINE,C,RACINE
"CITY OF RACINE, WARD 7",COUNTY CLERK (VOTE FOR 1),UNRESOLVED WRITE-IN,0,RACINE,C,RACINE
"CITY OF RACINE, WARD 8",COUNTY CLERK (VOTE FOR 1),UNRESOLVED WRITE-IN,0,RACINE,C,RACINE
"CITY OF RACINE, WARD 9",COUNTY CLERK (VOTE FOR 1),UNRESOLVED WRITE-IN,0,RACINE,C,RACINE
"CITY OF RACINE, WARD 10",COUNTY CLERK (VOTE FOR 1),WENDY M. CHRISTENSEN (REP),0,RACINE,C,RACINE
"CITY OF RACINE, WARD 10",COUNTY CLERK (VOTE FOR 1),WRITE-IN,0,RACINE,C,RACINE
"CITY OF RACINE, WARD 11",COUNTY CLERK (VOTE FOR 1),WENDY M. CHRISTENSEN (REP),0,RACINE,C,RACINE
"CITY OF RACINE, WARD 11",COUNTY CLERK (VOTE FOR 1),WRITE-IN,0,RACINE,C,RACINE
"CITY OF RACINE, WARD 12",COUNTY CLERK (VOTE FOR 1),WENDY M. CHRISTENSEN (REP),0,RACINE,C,RACINE
"CITY OF RACINE, WARD 12",COUNTY CLERK (VOTE FOR 1),WRITE-IN,0,RACINE,C,RACINE
"CITY OF RACINE, WARD 13",COUNTY CLERK (VOTE FOR 1),WENDY M. CHRISTENSEN (REP),0,RACINE,C,RACINE
"CITY OF RACINE, WARD 13",COUNTY CLERK (VOTE FOR 1),WRITE-IN,0,RACINE,C,RACINE
"CITY OF RACINE, WARD 14",COUNTY CLERK (VOTE FOR 1),WENDY M. CHRISTENSEN (REP),0,RACINE,C,RACINE
"CITY OF RACINE, WARD 14",COUNTY CLERK (VOTE FOR 1),WRITE-IN,0,RACINE,C,RACINE
"CITY OF RACINE, WARD 15",COUNTY CLERK (VOTE FOR 1),WENDY M. CHRISTENSEN (REP),0,RACINE,C,RACINE
"CITY OF RACINE, WARD 15",COUNTY CLERK (VOTE FOR 1),WRITE-IN,0,RACINE,C,RACINE
"CITY OF RACINE, WARD 16",COUNTY CLERK (VOTE FOR 1),WENDY M. CHRISTENSEN (REP),0,RACINE,C,RACINE
"CITY OF RACINE, WARD 16",COUNTY CLERK (VOTE FOR 1),WRITE-IN,0,RACINE,C,RACINE
"CITY OF RACINE, WARD 17",COUNTY CLERK (VOTE FOR 1),WENDY M. CHRISTENSEN (REP),0,RACINE,C,RACINE
"CITY OF RACINE, WARD 17",COUNTY CLERK (VOTE FOR 1),WRITE-IN,0,RACINE,C,RACINE
"CITY OF RACINE, WARD 18",COUNTY CLERK (VOTE FOR 1),WENDY M. CHRISTENSEN (REP),0,RACINE,C,RACINE
"CITY OF RACINE, WARD 18",COUNTY CLERK (VOTE FOR 1),WRITE-IN,0,RACINE,C,RACINE
"CITY OF RACINE, WARD 19",COUNTY CLERK (VOTE FOR 1),WENDY M. CHRISTENSEN (REP),0,RACINE,C,RACINE
"CITY OF RACINE, WARD 19",COUNTY CLERK (VOTE FOR 1),WRITE-IN,0,RACINE,C,RACINE
"CITY OF RACINE, WARD 20",COUNTY CLERK (VOTE FOR 1),WENDY M. CHRISTENSEN (REP),0,RACINE,C,RACINE
"CITY OF RACINE, WARD 20",COUNTY CLERK (VOTE FOR 1),WRITE-IN,0,RACINE,C,RACINE
"CITY OF RACINE, WARD 21",COUNTY CLERK (VOTE FOR 1),WENDY M. CHRISTENSEN (REP),0,RACINE,C,RACINE
"CITY OF RACINE, WARD 21",COUNTY CLERK (VOTE FOR 1),WRITE-IN,0,RACINE,C,RACINE
"CITY OF RACINE, WARD 22",COUNTY CLERK (VOTE FOR 1),WENDY M. CHRISTENSEN (REP),0,RACINE,C,RACINE
"CITY OF RACINE, WARD 22",COUNTY CLERK (VOTE FOR 1),WRITE-IN,0,RACINE,C,RACINE
"CITY OF RACINE, WARD 23",COUNTY CLERK (VOTE FOR 1),WENDY M. CHRISTENSEN (REP),0,RACINE,C,RACINE
"CITY OF RACINE, WARD 23",COUNTY CLERK (VOTE FOR 1),WRITE-IN,0,RACINE,C,RACINE
"CITY OF RACINE, WARD 24",COUNTY CLERK (VOTE FOR 1),WENDY M. CHRISTENSEN (REP),0,RACINE,C,RACINE
