reporting_unit,contest,candidate,votes,county,ctv,municipality
TOWN OF HAWKINS,PRESIDENT / VICE PRESIDENT,DOUG JENKINS / KIMBERLY LALONDE,0,RUSK,T,HAWKINS
TOWN OF HAWKINS,PRESIDENT / VICE PRESIDENT,FUTURE MADAM POTUS / JESSICA KENNEDY,0,RUSK,T,HAWKINS
TOWN OF HAWKINS,PRESIDENT / VICE PRESIDENT,"ANDRÉ RAMONE MCNEIL, SR.",0,RUSK,T,HAWKINS
TOWN OF HAWKINS,PRESIDENT / VICE PRESIDENT,SCATTERING,1,RUSK,T,HAWKINS
TOWN OF HUBBARD,PRESIDENT / VICE PRESIDENT,KAMALA D. HARRIS/ TIM WALZ,31,RUSK,T,HUBBARD
TOWN OF HUBBARD,PRESIDENT / VICE PRESIDENT,DONALD J. TRUMP/ JD VANCE,101,RUSK,T,HUBBARD
TOWN OF HUBBARD,PRESIDENT / VICE PRESIDENT,RANDALL TERRY / STEPHEN BRODEN,0,RUSK,T,HUBBARD
TOWN OF HUBBARD,PRESIDENT / VICE PRESIDENT,CHASE RUSSELL OLIVER / MIKE TER MAAT,0,RUSK,T,HUBBARD
TOWN OF HUBBARD,PRESIDENT / VICE PRESIDENT,JILL STEIN / RUDOLPH WARE,0,RUSK,T,HUBBARD
TOWN OF HUBBARD,PRESIDENT / VICE PRESIDENT,CLAUDIE DE LA CRUZ / KARINA GARCIA,0,RUSK,T,HUBBARD
TOWN OF HUBBARD,PRESIDENT / VICE PRESIDENT,CORNEL WEST / MELINA ABDULLAH,0,RUSK,T,HUBBARD
TOWN OF HUBBARD,PRESIDENT / VICE PRESIDENT,ROBERT F. KENNEDY JR. / NICOLE SHANAHAN,1,RUSK,T,HUBBARD
TOWN OF HUBBARD,PRESIDENT / VICE PRESIDENT,PETER SONSKI / LAUREN ONAK,0,RUSK,T,HUBBARD
TOWN OF HUBBARD,PRESIDENT / VICE PRESIDENT,CHERUNDA LYNN FOX,0,RUSK,T,HUBBARD
TOWN OF HUBBARD,PRESIDENT / VICE PRESIDENT,BRIAN KIENITZ,0,RUSK,T,HUBBARD
TOWN OF HUBBARD,PRESIDENT / VICE PRESIDENT,DOUG JENKINS / KIMBERLY LALONDE,0,RUSK,T,HUBBARD
TOWN OF HUBBARD,PRESIDENT / VICE PRESIDENT,FUTURE MADAM POTUS / JESSICA KENNEDY,0,RUSK,T,HUBBARD
TOWN OF HUBBARD,PRESIDENT / VICE PRESIDENT,"ANDRÉ RAMONE MCNEIL, SR.",0,RUSK,T,HUBBARD
TOWN OF HUBBARD,PRESIDENT / VICE PRESIDENT,SCATTERING,0,RUSK,T,HUBBARD
TOWN OF LAWRENCE,PRESIDENT / VICE PRESIDENT,KAMALA D. HARRIS/ TIM WALZ,38,RUSK,T,LAWRENCE
TOWN OF LAWRENCE,PRESIDENT / VICE PRESIDENT,DONALD J. TRUMP/ JD VANCE,140,RUSK,T,LAWRENCE
TOWN OF LAWRENCE,PRESIDENT / VICE PRESIDENT,RANDALL TERRY / STEPHEN BRODEN,0,RUSK,T,LAWRENCE
TOWN OF LAWRENCE,PRESIDENT / VICE PRESIDENT,CHASE RUSSELL OLIVER / MIKE TER MAAT,1,RUSK,T,LAWRENCE
TOWN OF LAWRENCE,PRESIDENT / VICE PRESIDENT,JILL STEIN / RUDOLPH WARE,0,RUSK,T,LAWRENCE
TOWN OF LAWRENCE,PRESIDENT / VICE PRESIDENT,CLAUDIE DE LA CRUZ / KARINA GARCIA,0,RUSK,T,LAWRENCE
TOWN OF LAWRENCE,PRESIDENT / VICE PRESIDENT,CORNEL WEST / MELINA ABDULLAH,0,RUSK,T,LAWRENCE
TOWN OF LAWRENCE,PRESIDENT / VICE PRESIDENT,ROBERT F. KENNEDY JR. / NICOLE SHANAHAN,3,RUSK,T,LAWRENCE
TOWN OF LAWRENCE,PRESIDENT / VICE PRESIDENT,PETER SONSKI / LAUREN ONAK,0,RUSK,T,LAWRENCE
TOWN OF LAWRENCE,PRESIDENT / VICE PRESIDENT,CHERUNDA LYNN FOX,0,RUSK,T,LAWRENCE
TOWN OF LAWRENCE,PRESIDENT / VICE PRESIDENT,BRIAN KIENITZ,0,RUSK,T,LAWRENCE
TOWN OF LAWRENCE,PRESIDENT / VICE PRESIDENT,DOUG JENKINS / KIMBERLY LALONDE,0,RUSK,T,LAWRENCE
TOWN OF LAWRENCE,PRESIDENT / VICE PRESIDENT,FUTURE MADAM POTUS / JESSICA KENNEDY,0,RUSK,T,LAWRENCE
TOWN OF LAWRENCE,PRESIDENT / VICE PRESIDENT,"ANDRÉ RAMONE MCNEIL, SR.",0,RUSK,T,LAWRENCE
TOWN OF LAWRENCE,PRESIDENT / VICE PRESIDENT,SCATTERING,0,RUSK,T,LAWRENCE
TOWN OF MARSHALL,PRESIDENT / VICE PRESIDENT,KAMALA D. HARRIS/ TIM WALZ,30,RUSK,T,MARSHALL
TOWN OF MARSHALL,PRESIDENT / VICE PRESIDENT,DONALD J. TRUMP/ JD VANCE,219,RUSK,T,MARSHALL
TOWN OF MARSHALL,PRESIDENT / VICE PRESIDENT,RANDALL TERRY / STEPHEN BRODEN,0,RUSK,T,MARSHALL
TOWN OF MARSHALL,PRESIDENT / VICE PRESIDENT,CHASE RUSSELL OLIVER / MIKE TER MAAT,1,RUSK,T,MARSHALL
TOWN OF MARSHALL,PRESIDENT / VICE PRESIDENT,JILL STEIN / RUDOLPH WARE,1,RUSK,T,MARSHALL
TOWN OF MARSHALL,PRESIDENT / VICE PRESIDENT,CLAUDIE DE LA CRUZ / KARINA GARCIA,0,RUSK,T,MARSHALL
