reporting_unit,contest,candidate,votes,county,ctv,municipality
TOWN OF ROCK ELM WARD 1,PRESIDENT OF THE UNITED STATES,"ROBERT F. KENNEDY, JR.   NICOLE SHANAHAN...12",14,PIERCE,T,ROCK ELM 
TOWN OF ROCK ELM WARD 1,PRESIDENT OF THE UNITED STATES,"ROBERT F. KENNEDY, JR.   NICOLE SHANAHAN...13",NA,PIERCE,T,ROCK ELM 
TOWN OF ROCK ELM WARD 1,PRESIDENT OF THE UNITED STATES,PETER SONSKI   LAUREN ONAK (WRITE-IN),NA,PIERCE,T,ROCK ELM 
TOWN OF ROCK ELM WARD 1,PRESIDENT OF THE UNITED STATES,CHERUNDA LYNN FOX (WRITE-IN),NA,PIERCE,T,ROCK ELM 
TOWN OF ROCK ELM WARD 1,PRESIDENT OF THE UNITED STATES,BRIAN KIENITZ (WRITE-IN),NA,PIERCE,T,ROCK ELM 
TOWN OF ROCK ELM WARD 1,PRESIDENT OF THE UNITED STATES,DOUG JENKINS   KIMBERLY LALONDE (WRITE-IN),NA,PIERCE,T,ROCK ELM 
TOWN OF ROCK ELM WARD 1,PRESIDENT OF THE UNITED STATES,FUTURE MADAM POTUS   JESSICA KENNEDY (WRITE-IN),NA,PIERCE,T,ROCK ELM 
TOWN OF ROCK ELM WARD 1,PRESIDENT OF THE UNITED STATES,"ANDRÉ RAMONE MCNEIL, SR. (WRITE-IN)",NA,PIERCE,T,ROCK ELM 
TOWN OF ROCK ELM WARD 1,PRESIDENT OF THE UNITED STATES,SCATTERING,NA,PIERCE,T,ROCK ELM 
TOWN OF ROCK ELM WARD 1,UNITED STATES SENATOR,TAMMY BALDWIN,96,PIERCE,T,ROCK ELM 
TOWN OF ROCK ELM WARD 1,UNITED STATES SENATOR,ERIC  HOVDE,182,PIERCE,T,ROCK ELM 
TOWN OF ROCK ELM WARD 1,UNITED STATES SENATOR,PHIL ANDERSON,5,PIERCE,T,ROCK ELM 
TOWN OF ROCK ELM WARD 1,UNITED STATES SENATOR,THOMAS LEAGER,2,PIERCE,T,ROCK ELM 
TOWN OF ROCK ELM WARD 1,UNITED STATES SENATOR,JOHN SCHIESS (WRITE-IN),NA,PIERCE,T,ROCK ELM 
TOWN OF ROCK ELM WARD 1,UNITED STATES SENATOR,SCATTERING,NA,PIERCE,T,ROCK ELM 
TOWN OF ROCK ELM WARD 1,REPRESENTATIVE IN CONGRESS DISTRICT 3,REBECCA COOKE,112,PIERCE,T,ROCK ELM 
TOWN OF ROCK ELM WARD 1,REPRESENTATIVE IN CONGRESS DISTRICT 3,DERRICK VAN ORDEN,171,PIERCE,T,ROCK ELM 
TOWN OF ROCK ELM WARD 1,REPRESENTATIVE IN CONGRESS DISTRICT 3,SCATTERING,NA,PIERCE,T,ROCK ELM 
TOWN OF ROCK ELM WARD 1,STATE SENATOR DISTRICT 10,PAUL HAMBLETON,89,PIERCE,T,ROCK ELM 
TOWN OF ROCK ELM WARD 1,STATE SENATOR DISTRICT 10,ROB STAFSHOLT,193,PIERCE,T,ROCK ELM 
TOWN OF ROCK ELM WARD 1,STATE SENATOR DISTRICT 10,SCATTERING,NA,PIERCE,T,ROCK ELM 
TOWN OF ROCK ELM WARD 1,REPRESENTATIVE TO THE ASSEMBLY DISTRICT 28,DANIELLE  JOHNSON,NA,PIERCE,T,ROCK ELM 
TOWN OF ROCK ELM WARD 1,REPRESENTATIVE TO THE ASSEMBLY DISTRICT 28,ROB KREIBICH,NA,PIERCE,T,ROCK ELM 
TOWN OF ROCK ELM WARD 1,REPRESENTATIVE TO THE ASSEMBLY DISTRICT 28,SCATTERING,NA,PIERCE,T,ROCK ELM 
TOWN OF ROCK ELM WARD 1,REPRESENTATIVE TO THE ASSEMBLY DISTRICT 29,TERRY SCHOONOVER,99,PIERCE,T,ROCK ELM 
TOWN OF ROCK ELM WARD 1,REPRESENTATIVE TO THE ASSEMBLY DISTRICT 29,TREIG E. PRONSCHINSKE,182,PIERCE,T,ROCK ELM 
TOWN OF ROCK ELM WARD 1,REPRESENTATIVE TO THE ASSEMBLY DISTRICT 29,SCATTERING,NA,PIERCE,T,ROCK ELM 
TOWN OF ROCK ELM WARD 1,REPRESENTATIVE TO THE ASSEMBLY DISTRICT 30,ALISON H. PAGE,NA,PIERCE,T,ROCK ELM 
TOWN OF ROCK ELM WARD 1,REPRESENTATIVE TO THE ASSEMBLY DISTRICT 30,SHANNON  ZIMMERMAN,NA,PIERCE,T,ROCK ELM 
TOWN OF ROCK ELM WARD 1,REPRESENTATIVE TO THE ASSEMBLY DISTRICT 30,SCATTERING,NA,PIERCE,T,ROCK ELM 
TOWN OF ROCK ELM WARD 1,PIERCE COUNTY DISTRICT ATTORNEY,HALLE  HATCH,212,PIERCE,T,ROCK ELM 
TOWN OF ROCK ELM WARD 1,PIERCE COUNTY DISTRICT ATTORNEY,SCATTERING,7,PIERCE,T,ROCK ELM 
TOWN OF ROCK ELM WARD 1,PIERCE COUNTY CLERK,JAMIE R. FEUERHELM,232,PIERCE,T,ROCK ELM 
TOWN OF ROCK ELM WARD 1,PIERCE COUNTY CLERK,SCATTERING,7,PIERCE,T,ROCK ELM 
TOWN OF ROCK ELM WARD 1,PIERCE COUNTY TREASURER,KATHY FUCHS,249,PIERCE,T,ROCK ELM 
TOWN OF ROCK ELM WARD 1,PIERCE COUNTY TREASURER,SCATTERING,4,PIERCE,T,ROCK ELM 
TOWN OF ROCK ELM WARD 1,PIERCE COUNTY REGISTER OF DEEDS,ANGELA HOVEN,249,PIERCE,T,ROCK ELM 
TOWN OF ROCK ELM WARD 1,PIERCE COUNTY REGISTER OF DEEDS,SCATTERING,4,PIERCE,T,ROCK ELM 
TOWN OF ROCK ELM WARD 1,STATE OF WISCONSIN ELIGIBILITY TO VOTE REFERENDUM,YES,225,PIERCE,T,ROCK ELM 
TOWN OF ROCK ELM WARD 1,STATE OF WISCONSIN ELIGIBILITY TO VOTE REFERENDUM,NO,45,PIERCE,T,ROCK ELM 
TOWN OF ROCK ELM WARD 1,TOWN OF ELLSWORTH CLERK APPOINTMENT REFERENDUM,YES,NA,PIERCE,T,ROCK ELM 
TOWN OF ROCK ELM WARD 1,TOWN OF ELLSWORTH CLERK APPOINTMENT REFERENDUM,NO,NA,PIERCE,T,ROCK ELM 
TOWN OF ROCK ELM WARD 1,TOWN OF MARTELL CLERK AND TREASURER APPOINTMENT REFERENDUM,YES,NA,PIERCE,T,ROCK ELM 
TOWN OF ROCK ELM WARD 1,TOWN OF MARTELL CLERK AND TREASURER APPOINTMENT REFERENDUM,NO,NA,PIERCE,T,ROCK ELM 
TOWN OF ROCK ELM WARD 1,PRESCOTT SCHOOL DISTRICT EXCEED REVENUE LIMIT REFERENDUM,YES,NA,PIERCE,T,ROCK ELM 
TOWN OF ROCK ELM WARD 1,PRESCOTT SCHOOL DISTRICT EXCEED REVENUE LIMIT REFERENDUM,NO,NA,PIERCE,T,ROCK ELM 
