candidate,reporting_unit,votes,contest,county,ctv,municipality
WRITE-IN,MOLITOR,0,UNITED STATES SENATOR,TAYLOR,T,MOLITOR
TAMMY BALDWIN,PERSHING,0,UNITED STATES SENATOR,TAYLOR,T,PERSHING
TAMMY BALDWIN,RIB LAKE 1 & 2,105,UNITED STATES SENATOR,TAYLOR,T,RIB LAKE
TAMMY BALDWIN,ROOSEVELT,58,UNITED STATES SENATOR,TAYLOR,T,ROOSEVELT
TAMMY BALDWIN,TAFT,47,UNITED STATES SENATOR,TAYLOR,T,TAFT
TAMMY BALDWIN,WESTBORO,0,UNITED STATES SENATOR,TAYLOR,T,WESTBORO
TAMMY BALDWIN,VILLAGE GILMAN,0,UNITED STATES SENATOR,TAYLOR,V,GILMAN
TAMMY BALDWIN,VILLAGE LUBLIN,15,UNITED STATES SENATOR,TAYLOR,V,LUBLIN
TAMMY BALDWIN,VILLAGE RIB LAKE,0,UNITED STATES SENATOR,TAYLOR,V,RIB LAKE
TAMMY BALDWIN,VILLAGE STETSONVILLE,74,UNITED STATES SENATOR,TAYLOR,V,STETSONVILLE
TAMMY BALDWIN,C. MEDFORD 1 - 8,0,UNITED STATES SENATOR,TAYLOR,C,MEDFORD
ERIC HOVDE,PERSHING,0,UNITED STATES SENATOR,TAYLOR,T,PERSHING
ERIC HOVDE,RIB LAKE 1 & 2,327,UNITED STATES SENATOR,TAYLOR,T,RIB LAKE
ERIC HOVDE,ROOSEVELT,130,UNITED STATES SENATOR,TAYLOR,T,ROOSEVELT
ERIC HOVDE,TAFT,114,UNITED STATES SENATOR,TAYLOR,T,TAFT
ERIC HOVDE,WESTBORO,0,UNITED STATES SENATOR,TAYLOR,T,WESTBORO
ERIC HOVDE,VILLAGE GILMAN,0,UNITED STATES SENATOR,TAYLOR,V,GILMAN
ERIC HOVDE,VILLAGE LUBLIN,42,UNITED STATES SENATOR,TAYLOR,V,LUBLIN
ERIC HOVDE,VILLAGE RIB LAKE,0,UNITED STATES SENATOR,TAYLOR,V,RIB LAKE
ERIC HOVDE,VILLAGE STETSONVILLE,188,UNITED STATES SENATOR,TAYLOR,V,STETSONVILLE
ERIC HOVDE,C. MEDFORD 1 - 8,0,UNITED STATES SENATOR,TAYLOR,C,MEDFORD
PHIL ANDERSON,PERSHING,0,UNITED STATES SENATOR,TAYLOR,T,PERSHING
PHIL ANDERSON,RIB LAKE 1 & 2,5,UNITED STATES SENATOR,TAYLOR,T,RIB LAKE
PHIL ANDERSON,ROOSEVELT,4,UNITED STATES SENATOR,TAYLOR,T,ROOSEVELT
PHIL ANDERSON,TAFT,4,UNITED STATES SENATOR,TAYLOR,T,TAFT
PHIL ANDERSON,WESTBORO,0,UNITED STATES SENATOR,TAYLOR,T,WESTBORO
PHIL ANDERSON,VILLAGE GILMAN,0,UNITED STATES SENATOR,TAYLOR,V,GILMAN
PHIL ANDERSON,VILLAGE LUBLIN,1,UNITED STATES SENATOR,TAYLOR,V,LUBLIN
PHIL ANDERSON,VILLAGE RIB LAKE,0,UNITED STATES SENATOR,TAYLOR,V,RIB LAKE
PHIL ANDERSON,VILLAGE STETSONVILLE,3,UNITED STATES SENATOR,TAYLOR,V,STETSONVILLE
PHIL ANDERSON,C. MEDFORD 1 - 8,0,UNITED STATES SENATOR,TAYLOR,C,MEDFORD
THOMAS LEAGER,PERSHING,0,UNITED STATES SENATOR,TAYLOR,T,PERSHING
THOMAS LEAGER,RIB LAKE 1 & 2,10,UNITED STATES SENATOR,TAYLOR,T,RIB LAKE
THOMAS LEAGER,ROOSEVELT,3,UNITED STATES SENATOR,TAYLOR,T,ROOSEVELT
THOMAS LEAGER,TAFT,1,UNITED STATES SENATOR,TAYLOR,T,TAFT
THOMAS LEAGER,WESTBORO,0,UNITED STATES SENATOR,TAYLOR,T,WESTBORO
THOMAS LEAGER,VILLAGE GILMAN,0,UNITED STATES SENATOR,TAYLOR,V,GILMAN
THOMAS LEAGER,VILLAGE LUBLIN,2,UNITED STATES SENATOR,TAYLOR,V,LUBLIN
THOMAS LEAGER,VILLAGE RIB LAKE,0,UNITED STATES SENATOR,TAYLOR,V,RIB LAKE
THOMAS LEAGER,VILLAGE STETSONVILLE,3,UNITED STATES SENATOR,TAYLOR,V,STETSONVILLE
THOMAS LEAGER,C. MEDFORD 1 - 8,0,UNITED STATES SENATOR,TAYLOR,C,MEDFORD
WRITE-IN,PERSHING,0,UNITED STATES SENATOR,TAYLOR,T,PERSHING
WRITE-IN,RIB LAKE 1 & 2,0,UNITED STATES SENATOR,TAYLOR,T,RIB LAKE
WRITE-IN,ROOSEVELT,0,UNITED STATES SENATOR,TAYLOR,T,ROOSEVELT
WRITE-IN,TAFT,0,UNITED STATES SENATOR,TAYLOR,T,TAFT
WRITE-IN,WESTBORO,0,UNITED STATES SENATOR,TAYLOR,T,WESTBORO
WRITE-IN,VILLAGE GILMAN,0,UNITED STATES SENATOR,TAYLOR,V,GILMAN
WRITE-IN,VILLAGE LUBLIN,0,UNITED STATES SENATOR,TAYLOR,V,LUBLIN
WRITE-IN,VILLAGE RIB LAKE,0,UNITED STATES SENATOR,TAYLOR,V,RIB LAKE
WRITE-IN,VILLAGE STETSONVILLE,0,UNITED STATES SENATOR,TAYLOR,V,STETSONVILLE
WRITE-IN,C. MEDFORD 1 - 8,0,UNITED STATES SENATOR,TAYLOR,C,MEDFORD
KYLE KILBOURN,AURORA,0,D7 CONGRESS REP,TAYLOR,T,AURORA
KYLE KILBOURN,BROWNING,0,D7 CONGRESS REP,TAYLOR,T,BROWNING
KYLE KILBOURN,CHELSEA,0,D7 CONGRESS REP,TAYLOR,T,CHELSEA
KYLE KILBOURN,CLEVELAND,0,D7 CONGRESS REP,TAYLOR,T,CLEVELAND
KYLE KILBOURN,DEER CREEK,55,D7 CONGRESS REP,TAYLOR,T,DEER CREEK
KYLE KILBOURN,FORD,0,D7 CONGRESS REP,TAYLOR,T,FORD
KYLE KILBOURN,GOODRICH,0,D7 CONGRESS REP,TAYLOR,T,GOODRICH
KYLE KILBOURN,GREENWOOD,0,D7 CONGRESS REP,TAYLOR,T,GREENWOOD
KYLE KILBOURN,GROVER,0,D7 CONGRESS REP,TAYLOR,T,GROVER
KYLE KILBOURN,HAMMEL 1 & 2,90,D7 CONGRESS REP,TAYLOR,T,HAMMEL
KYLE KILBOURN,HOLWAY,0,D7 CONGRESS REP,TAYLOR,T,HOLWAY
KYLE KILBOURN,JUMP RIVER,37,D7 CONGRESS REP,TAYLOR,T,JUMP RIVER
KYLE KILBOURN,LITTLE BLACK 1 & 2,0,D7 CONGRESS REP,TAYLOR,T,LITTLE BLACK
KYLE KILBOURN,MAPLEHURST,30,D7 CONGRESS REP,TAYLOR,T,MAPLEHURST
KYLE KILBOURN,MCKINLEY,0,D7 CONGRESS REP,TAYLOR,T,MCKINLEY
KYLE KILBOURN,MEDFORD 1 - 3,0,D7 CONGRESS REP,TAYLOR,T,MEDFORD
KYLE KILBOURN,MOLITOR,0,D7 CONGRESS REP,TAYLOR,T,MOLITOR
TOM TIFFANY,AURORA,0,D7 CONGRESS REP,TAYLOR,T,AURORA
TOM TIFFANY,BROWNING,0,D7 CONGRESS REP,TAYLOR,T,BROWNING
TOM TIFFANY,CHELSEA,0,D7 CONGRESS REP,TAYLOR,T,CHELSEA
TOM TIFFANY,CLEVELAND,0,D7 CONGRESS REP,TAYLOR,T,CLEVELAND
TOM TIFFANY,DEER CREEK,328,D7 CONGRESS REP,TAYLOR,T,DEER CREEK
TOM TIFFANY,FORD,0,D7 CONGRESS REP,TAYLOR,T,FORD
TOM TIFFANY,GOODRICH,0,D7 CONGRESS REP,TAYLOR,T,GOODRICH
TOM TIFFANY,GREENWOOD,0,D7 CONGRESS REP,TAYLOR,T,GREENWOOD
TOM TIFFANY,GROVER,0,D7 CONGRESS REP,TAYLOR,T,GROVER
TOM TIFFANY,HAMMEL 1 & 2,357,D7 CONGRESS REP,TAYLOR,T,HAMMEL
TOM TIFFANY,HOLWAY,0,D7 CONGRESS REP,TAYLOR,T,HOLWAY
TOM TIFFANY,JUMP RIVER,115,D7 CONGRESS REP,TAYLOR,T,JUMP RIVER
TOM TIFFANY,LITTLE BLACK 1 & 2,0,D7 CONGRESS REP,TAYLOR,T,LITTLE BLACK
TOM TIFFANY,MAPLEHURST,144,D7 CONGRESS REP,TAYLOR,T,MAPLEHURST
TOM TIFFANY,MCKINLEY,0,D7 CONGRESS REP,TAYLOR,T,MCKINLEY
TOM TIFFANY,MEDFORD 1 - 3,0,D7 CONGRESS REP,TAYLOR,T,MEDFORD
TOM TIFFANY,MOLITOR,0,D7 CONGRESS REP,TAYLOR,T,MOLITOR
WRITE-IN,AURORA,0,D7 CONGRESS REP,TAYLOR,T,AURORA
WRITE-IN,BROWNING,0,D7 CONGRESS REP,TAYLOR,T,BROWNING
WRITE-IN,CHELSEA,0,D7 CONGRESS REP,TAYLOR,T,CHELSEA
WRITE-IN,CLEVELAND,0,D7 CONGRESS REP,TAYLOR,T,CLEVELAND
WRITE-IN,DEER CREEK,0,D7 CONGRESS REP,TAYLOR,T,DEER CREEK
WRITE-IN,FORD,0,D7 CONGRESS REP,TAYLOR,T,FORD
WRITE-IN,GOODRICH,0,D7 CONGRESS REP,TAYLOR,T,GOODRICH
WRITE-IN,GREENWOOD,0,D7 CONGRESS REP,TAYLOR,T,GREENWOOD
WRITE-IN,GROVER,0,D7 CONGRESS REP,TAYLOR,T,GROVER
WRITE-IN,HAMMEL 1 & 2,0,D7 CONGRESS REP,TAYLOR,T,HAMMEL
WRITE-IN,HOLWAY,0,D7 CONGRESS REP,TAYLOR,T,HOLWAY
WRITE-IN,JUMP RIVER,0,D7 CONGRESS REP,TAYLOR,T,JUMP RIVER
WRITE-IN,LITTLE BLACK 1 & 2,0,D7 CONGRESS REP,TAYLOR,T,LITTLE BLACK
WRITE-IN,MAPLEHURST,0,D7 CONGRESS REP,TAYLOR,T,MAPLEHURST
WRITE-IN,MCKINLEY,0,D7 CONGRESS REP,TAYLOR,T,MCKINLEY
WRITE-IN,MEDFORD 1 - 3,0,D7 CONGRESS REP,TAYLOR,T,MEDFORD
WRITE-IN,MOLITOR,0,D7 CONGRESS REP,TAYLOR,T,MOLITOR
KYLE KILBOURN,PERSHING,0,D7 CONGRESS REP,TAYLOR,T,PERSHING
KYLE KILBOURN,RIB LAKE 1 & 2,94,D7 CONGRESS REP,TAYLOR,T,RIB LAKE
KYLE KILBOURN,ROOSEVELT,51,D7 CONGRESS REP,TAYLOR,T,ROOSEVELT
KYLE KILBOURN,TAFT,38,D7 CONGRESS REP,TAYLOR,T,TAFT
KYLE KILBOURN,WESTBORO,0,D7 CONGRESS REP,TAYLOR,T,WESTBORO
KYLE KILBOURN,VILLAGE GILMAN,0,D7 CONGRESS REP,TAYLOR,V,GILMAN
KYLE KILBOURN,VILLAGE LUBLIN,8,D7 CONGRESS REP,TAYLOR,V,LUBLIN
KYLE KILBOURN,VILLAGE RIB LAKE,0,D7 CONGRESS REP,TAYLOR,V,RIB LAKE
KYLE KILBOURN,VILLAGE STETSONVILLE,67,D7 CONGRESS REP,TAYLOR,V,STETSONVILLE
KYLE KILBOURN,C. MEDFORD 1 - 8,0,D7 CONGRESS REP,TAYLOR,C,MEDFORD
TOM TIFFANY,PERSHING,0,D7 CONGRESS REP,TAYLOR,T,PERSHING
TOM TIFFANY,RIB LAKE 1 & 2,343,D7 CONGRESS REP,TAYLOR,T,RIB LAKE
TOM TIFFANY,ROOSEVELT,139,D7 CONGRESS REP,TAYLOR,T,ROOSEVELT
TOM TIFFANY,TAFT,122,D7 CONGRESS REP,TAYLOR,T,TAFT
TOM TIFFANY,WESTBORO,0,D7 CONGRESS REP,TAYLOR,T,WESTBORO
TOM TIFFANY,VILLAGE GILMAN,0,D7 CONGRESS REP,TAYLOR,V,GILMAN
TOM TIFFANY,VILLAGE LUBLIN,46,D7 CONGRESS REP,TAYLOR,V,LUBLIN
TOM TIFFANY,VILLAGE RIB LAKE,0,D7 CONGRESS REP,TAYLOR,V,RIB LAKE
TOM TIFFANY,VILLAGE STETSONVILLE,201,D7 CONGRESS REP,TAYLOR,V,STETSONVILLE
TOM TIFFANY,C. MEDFORD 1 - 8,0,D7 CONGRESS REP,TAYLOR,C,MEDFORD
WRITE-IN,PERSHING,0,D7 CONGRESS REP,TAYLOR,T,PERSHING
WRITE-IN,RIB LAKE 1 & 2,0,D7 CONGRESS REP,TAYLOR,T,RIB LAKE
WRITE-IN,ROOSEVELT,0,D7 CONGRESS REP,TAYLOR,T,ROOSEVELT
WRITE-IN,TAFT,0,D7 CONGRESS REP,TAYLOR,T,TAFT
WRITE-IN,WESTBORO,0,D7 CONGRESS REP,TAYLOR,T,WESTBORO
WRITE-IN,VILLAGE GILMAN,0,D7 CONGRESS REP,TAYLOR,V,GILMAN
WRITE-IN,VILLAGE LUBLIN,0,D7 CONGRESS REP,TAYLOR,V,LUBLIN
WRITE-IN,VILLAGE RIB LAKE,0,D7 CONGRESS REP,TAYLOR,V,RIB LAKE
WRITE-IN,VILLAGE STETSONVILLE,0,D7 CONGRESS REP,TAYLOR,V,STETSONVILLE
WRITE-IN,C. MEDFORD 1 - 8,0,D7 CONGRESS REP,TAYLOR,C,MEDFORD
KRISTI S TLUSTY,AURORA,0,DISTRICT ATTORNEY,TAYLOR,T,AURORA
KRISTI S TLUSTY,BROWNING,0,DISTRICT ATTORNEY,TAYLOR,T,BROWNING
KRISTI S TLUSTY,CHELSEA,0,DISTRICT ATTORNEY,TAYLOR,T,CHELSEA
KRISTI S TLUSTY,CLEVELAND,0,DISTRICT ATTORNEY,TAYLOR,T,CLEVELAND
KRISTI S TLUSTY,DEER CREEK,257,DISTRICT ATTORNEY,TAYLOR,T,DEER CREEK
KRISTI S TLUSTY,FORD,0,DISTRICT ATTORNEY,TAYLOR,T,FORD
KRISTI S TLUSTY,GOODRICH,0,DISTRICT ATTORNEY,TAYLOR,T,GOODRICH
KRISTI S TLUSTY,GREENWOOD,0,DISTRICT ATTORNEY,TAYLOR,T,GREENWOOD
KRISTI S TLUSTY,GROVER,0,DISTRICT ATTORNEY,TAYLOR,T,GROVER
KRISTI S TLUSTY,HAMMEL 1 & 2,326,DISTRICT ATTORNEY,TAYLOR,T,HAMMEL
KRISTI S TLUSTY,HOLWAY,0,DISTRICT ATTORNEY,TAYLOR,T,HOLWAY
KRISTI S TLUSTY,JUMP RIVER,101,DISTRICT ATTORNEY,TAYLOR,T,JUMP RIVER
KRISTI S TLUSTY,LITTLE BLACK 1 & 2,0,DISTRICT ATTORNEY,TAYLOR,T,LITTLE BLACK
KRISTI S TLUSTY,MAPLEHURST,122,DISTRICT ATTORNEY,TAYLOR,T,MAPLEHURST
KRISTI S TLUSTY,MCKINLEY,0,DISTRICT ATTORNEY,TAYLOR,T,MCKINLEY
KRISTI S TLUSTY,MEDFORD 1 - 3,0,DISTRICT ATTORNEY,TAYLOR,T,MEDFORD
KRISTI S TLUSTY,MOLITOR,0,DISTRICT ATTORNEY,TAYLOR,T,MOLITOR
WRITE-IN,AURORA,0,DISTRICT ATTORNEY,TAYLOR,T,AURORA
WRITE-IN,BROWNING,0,DISTRICT ATTORNEY,TAYLOR,T,BROWNING
WRITE-IN,CHELSEA,0,DISTRICT ATTORNEY,TAYLOR,T,CHELSEA
WRITE-IN,CLEVELAND,0,DISTRICT ATTORNEY,TAYLOR,T,CLEVELAND
WRITE-IN,DEER CREEK,0,DISTRICT ATTORNEY,TAYLOR,T,DEER CREEK
WRITE-IN,FORD,0,DISTRICT ATTORNEY,TAYLOR,T,FORD
WRITE-IN,GOODRICH,0,DISTRICT ATTORNEY,TAYLOR,T,GOODRICH
WRITE-IN,GREENWOOD,0,DISTRICT ATTORNEY,TAYLOR,T,GREENWOOD
WRITE-IN,GROVER,0,DISTRICT ATTORNEY,TAYLOR,T,GROVER
WRITE-IN,HAMMEL 1 & 2,0,DISTRICT ATTORNEY,TAYLOR,T,HAMMEL
WRITE-IN,HOLWAY,0,DISTRICT ATTORNEY,TAYLOR,T,HOLWAY
WRITE-IN,JUMP RIVER,0,DISTRICT ATTORNEY,TAYLOR,T,JUMP RIVER
WRITE-IN,LITTLE BLACK 1 & 2,0,DISTRICT ATTORNEY,TAYLOR,T,LITTLE BLACK
WRITE-IN,MAPLEHURST,0,DISTRICT ATTORNEY,TAYLOR,T,MAPLEHURST
WRITE-IN,MCKINLEY,0,DISTRICT ATTORNEY,TAYLOR,T,MCKINLEY
WRITE-IN,MEDFORD 1 - 3,0,DISTRICT ATTORNEY,TAYLOR,T,MEDFORD
WRITE-IN,MOLITOR,0,DISTRICT ATTORNEY,TAYLOR,T,MOLITOR
KRISTI S TLUSTY,PERSHING,0,DISTRICT ATTORNEY,TAYLOR,T,PERSHING
KRISTI S TLUSTY,RIB LAKE 1 & 2,281,DISTRICT ATTORNEY,TAYLOR,T,RIB LAKE
KRISTI S TLUSTY,ROOSEVELT,131,DISTRICT ATTORNEY,TAYLOR,T,ROOSEVELT
KRISTI S TLUSTY,TAFT,112,DISTRICT ATTORNEY,TAYLOR,T,TAFT
KRISTI S TLUSTY,WESTBORO,0,DISTRICT ATTORNEY,TAYLOR,T,WESTBORO
KRISTI S TLUSTY,VILLAGE GILMAN,0,DISTRICT ATTORNEY,TAYLOR,V,GILMAN
KRISTI S TLUSTY,VILLAGE LUBLIN,41,DISTRICT ATTORNEY,TAYLOR,V,LUBLIN
KRISTI S TLUSTY,VILLAGE RIB LAKE,0,DISTRICT ATTORNEY,TAYLOR,V,RIB LAKE
KRISTI S TLUSTY,VILLAGE STETSONVILLE,222,DISTRICT ATTORNEY,TAYLOR,V,STETSONVILLE
KRISTI S TLUSTY,C. MEDFORD 1 - 8,0,DISTRICT ATTORNEY,TAYLOR,C,MEDFORD
WRITE-IN,PERSHING,0,DISTRICT ATTORNEY,TAYLOR,T,PERSHING
WRITE-IN,RIB LAKE 1 & 2,0,DISTRICT ATTORNEY,TAYLOR,T,RIB LAKE
WRITE-IN,ROOSEVELT,0,DISTRICT ATTORNEY,TAYLOR,T,ROOSEVELT
WRITE-IN,TAFT,0,DISTRICT ATTORNEY,TAYLOR,T,TAFT
WRITE-IN,WESTBORO,0,DISTRICT ATTORNEY,TAYLOR,T,WESTBORO
WRITE-IN,VILLAGE GILMAN,0,DISTRICT ATTORNEY,TAYLOR,V,GILMAN
WRITE-IN,VILLAGE LUBLIN,0,DISTRICT ATTORNEY,TAYLOR,V,LUBLIN
WRITE-IN,VILLAGE RIB LAKE,0,DISTRICT ATTORNEY,TAYLOR,V,RIB LAKE
WRITE-IN,VILLAGE STETSONVILLE,0,DISTRICT ATTORNEY,TAYLOR,V,STETSONVILLE
WRITE-IN,C. MEDFORD 1 - 8,0,DISTRICT ATTORNEY,TAYLOR,C,MEDFORD
ANDRIA M FARRAND,AURORA,0,COUNTY CLERK,TAYLOR,T,AURORA
ANDRIA M FARRAND,BROWNING,0,COUNTY CLERK,TAYLOR,T,BROWNING
ANDRIA M FARRAND,CHELSEA,0,COUNTY CLERK,TAYLOR,T,CHELSEA
ANDRIA M FARRAND,CLEVELAND,0,COUNTY CLERK,TAYLOR,T,CLEVELAND
ANDRIA M FARRAND,DEER CREEK,354,COUNTY CLERK,TAYLOR,T,DEER CREEK
ANDRIA M FARRAND,FORD,0,COUNTY CLERK,TAYLOR,T,FORD
ANDRIA M FARRAND,GOODRICH,0,COUNTY CLERK,TAYLOR,T,GOODRICH
ANDRIA M FARRAND,GREENWOOD,0,COUNTY CLERK,TAYLOR,T,GREENWOOD
ANDRIA M FARRAND,GROVER,0,COUNTY CLERK,TAYLOR,T,GROVER
ANDRIA M FARRAND,HAMMEL 1 & 2,408,COUNTY CLERK,TAYLOR,T,HAMMEL
ANDRIA M FARRAND,HOLWAY,0,COUNTY CLERK,TAYLOR,T,HOLWAY
ANDRIA M FARRAND,JUMP RIVER,127,COUNTY CLERK,TAYLOR,T,JUMP RIVER
ANDRIA M FARRAND,LITTLE BLACK 1 & 2,0,COUNTY CLERK,TAYLOR,T,LITTLE BLACK
ANDRIA M FARRAND,MAPLEHURST,157,COUNTY CLERK,TAYLOR,T,MAPLEHURST
ANDRIA M FARRAND,MCKINLEY,0,COUNTY CLERK,TAYLOR,T,MCKINLEY
ANDRIA M FARRAND,MEDFORD 1 - 3,0,COUNTY CLERK,TAYLOR,T,MEDFORD
ANDRIA M FARRAND,MOLITOR,0,COUNTY CLERK,TAYLOR,T,MOLITOR
WRITE-IN,AURORA,0,COUNTY CLERK,TAYLOR,T,AURORA
WRITE-IN,BROWNING,0,COUNTY CLERK,TAYLOR,T,BROWNING
WRITE-IN,CHELSEA,0,COUNTY CLERK,TAYLOR,T,CHELSEA
WRITE-IN,CLEVELAND,0,COUNTY CLERK,TAYLOR,T,CLEVELAND
WRITE-IN,DEER CREEK,0,COUNTY CLERK,TAYLOR,T,DEER CREEK
WRITE-IN,FORD,0,COUNTY CLERK,TAYLOR,T,FORD
WRITE-IN,GOODRICH,0,COUNTY CLERK,TAYLOR,T,GOODRICH
WRITE-IN,GREENWOOD,0,COUNTY CLERK,TAYLOR,T,GREENWOOD
WRITE-IN,GROVER,0,COUNTY CLERK,TAYLOR,T,GROVER
WRITE-IN,HAMMEL 1 & 2,0,COUNTY CLERK,TAYLOR,T,HAMMEL
WRITE-IN,HOLWAY,0,COUNTY CLERK,TAYLOR,T,HOLWAY
WRITE-IN,JUMP RIVER,0,COUNTY CLERK,TAYLOR,T,JUMP RIVER
WRITE-IN,LITTLE BLACK 1 & 2,0,COUNTY CLERK,TAYLOR,T,LITTLE BLACK
WRITE-IN,MAPLEHURST,0,COUNTY CLERK,TAYLOR,T,MAPLEHURST
WRITE-IN,MCKINLEY,0,COUNTY CLERK,TAYLOR,T,MCKINLEY
WRITE-IN,MEDFORD 1 - 3,0,COUNTY CLERK,TAYLOR,T,MEDFORD
WRITE-IN,MOLITOR,0,COUNTY CLERK,TAYLOR,T,MOLITOR
ANDRIA M FARRAND,PERSHING,0,COUNTY CLERK,TAYLOR,T,PERSHING
ANDRIA M FARRAND,RIB LAKE 1 & 2,381,COUNTY CLERK,TAYLOR,T,RIB LAKE
ANDRIA M FARRAND,ROOSEVELT,166,COUNTY CLERK,TAYLOR,T,ROOSEVELT
ANDRIA M FARRAND,TAFT,147,COUNTY CLERK,TAYLOR,T,TAFT
ANDRIA M FARRAND,WESTBORO,0,COUNTY CLERK,TAYLOR,T,WESTBORO
ANDRIA M FARRAND,VILLAGE GILMAN,0,COUNTY CLERK,TAYLOR,V,GILMAN
ANDRIA M FARRAND,VILLAGE LUBLIN,57,COUNTY CLERK,TAYLOR,V,LUBLIN
ANDRIA M FARRAND,VILLAGE RIB LAKE,0,COUNTY CLERK,TAYLOR,V,RIB LAKE
ANDRIA M FARRAND,VILLAGE STETSONVILLE,241,COUNTY CLERK,TAYLOR,V,STETSONVILLE
ANDRIA M FARRAND,C. MEDFORD 1 - 8,0,COUNTY CLERK,TAYLOR,C,MEDFORD
WRITE-IN,PERSHING,0,COUNTY CLERK,TAYLOR,T,PERSHING
WRITE-IN,RIB LAKE 1 & 2,0,COUNTY CLERK,TAYLOR,T,RIB LAKE
WRITE-IN,ROOSEVELT,0,COUNTY CLERK,TAYLOR,T,ROOSEVELT
WRITE-IN,TAFT,0,COUNTY CLERK,TAYLOR,T,TAFT
WRITE-IN,WESTBORO,0,COUNTY CLERK,TAYLOR,T,WESTBORO
WRITE-IN,VILLAGE GILMAN,0,COUNTY CLERK,TAYLOR,V,GILMAN
WRITE-IN,VILLAGE LUBLIN,0,COUNTY CLERK,TAYLOR,V,LUBLIN
WRITE-IN,VILLAGE RIB LAKE,0,COUNTY CLERK,TAYLOR,V,RIB LAKE
WRITE-IN,VILLAGE STETSONVILLE,0,COUNTY CLERK,TAYLOR,V,STETSONVILLE
WRITE-IN,C. MEDFORD 1 - 8,0,COUNTY CLERK,TAYLOR,C,MEDFORD
SARAH RUTH HOLTZ,AURORA,0,COUNTY TREASURER,TAYLOR,T,AURORA
SARAH RUTH HOLTZ,BROWNING,0,COUNTY TREASURER,TAYLOR,T,BROWNING
SARAH RUTH HOLTZ,CHELSEA,0,COUNTY TREASURER,TAYLOR,T,CHELSEA
SARAH RUTH HOLTZ,CLEVELAND,0,COUNTY TREASURER,TAYLOR,T,CLEVELAND
SARAH RUTH HOLTZ,DEER CREEK,367,COUNTY TREASURER,TAYLOR,T,DEER CREEK
SARAH RUTH HOLTZ,FORD,0,COUNTY TREASURER,TAYLOR,T,FORD
SARAH RUTH HOLTZ,GOODRICH,0,COUNTY TREASURER,TAYLOR,T,GOODRICH
SARAH RUTH HOLTZ,GREENWOOD,0,COUNTY TREASURER,TAYLOR,T,GREENWOOD
SARAH RUTH HOLTZ,GROVER,0,COUNTY TREASURER,TAYLOR,T,GROVER
SARAH RUTH HOLTZ,HAMMEL 1 & 2,412,COUNTY TREASURER,TAYLOR,T,HAMMEL
SARAH RUTH HOLTZ,HOLWAY,0,COUNTY TREASURER,TAYLOR,T,HOLWAY
SARAH RUTH HOLTZ,JUMP RIVER,131,COUNTY TREASURER,TAYLOR,T,JUMP RIVER
SARAH RUTH HOLTZ,LITTLE BLACK 1 & 2,0,COUNTY TREASURER,TAYLOR,T,LITTLE BLACK
SARAH RUTH HOLTZ,MAPLEHURST,158,COUNTY TREASURER,TAYLOR,T,MAPLEHURST
SARAH RUTH HOLTZ,MCKINLEY,0,COUNTY TREASURER,TAYLOR,T,MCKINLEY
SARAH RUTH HOLTZ,MEDFORD 1 - 3,0,COUNTY TREASURER,TAYLOR,T,MEDFORD
SARAH RUTH HOLTZ,MOLITOR,0,COUNTY TREASURER,TAYLOR,T,MOLITOR
WRITE-IN,AURORA,0,COUNTY TREASURER,TAYLOR,T,AURORA
WRITE-IN,BROWNING,0,COUNTY TREASURER,TAYLOR,T,BROWNING
WRITE-IN,CHELSEA,0,COUNTY TREASURER,TAYLOR,T,CHELSEA
WRITE-IN,CLEVELAND,0,COUNTY TREASURER,TAYLOR,T,CLEVELAND
WRITE-IN,DEER CREEK,0,COUNTY TREASURER,TAYLOR,T,DEER CREEK
WRITE-IN,FORD,0,COUNTY TREASURER,TAYLOR,T,FORD
WRITE-IN,GOODRICH,0,COUNTY TREASURER,TAYLOR,T,GOODRICH
WRITE-IN,GREENWOOD,0,COUNTY TREASURER,TAYLOR,T,GREENWOOD
WRITE-IN,GROVER,0,COUNTY TREASURER,TAYLOR,T,GROVER
WRITE-IN,HAMMEL 1 & 2,0,COUNTY TREASURER,TAYLOR,T,HAMMEL
WRITE-IN,HOLWAY,0,COUNTY TREASURER,TAYLOR,T,HOLWAY
WRITE-IN,JUMP RIVER,0,COUNTY TREASURER,TAYLOR,T,JUMP RIVER
WRITE-IN,LITTLE BLACK 1 & 2,0,COUNTY TREASURER,TAYLOR,T,LITTLE BLACK
WRITE-IN,MAPLEHURST,0,COUNTY TREASURER,TAYLOR,T,MAPLEHURST
WRITE-IN,MCKINLEY,0,COUNTY TREASURER,TAYLOR,T,MCKINLEY
WRITE-IN,MEDFORD 1 - 3,0,COUNTY TREASURER,TAYLOR,T,MEDFORD
WRITE-IN,MOLITOR,0,COUNTY TREASURER,TAYLOR,T,MOLITOR
SARAH RUTH HOLTZ,PERSHING,0,COUNTY TREASURER,TAYLOR,T,PERSHING
SARAH RUTH HOLTZ,RIB LAKE 1 & 2,383,COUNTY TREASURER,TAYLOR,T,RIB LAKE
SARAH RUTH HOLTZ,ROOSEVELT,166,COUNTY TREASURER,TAYLOR,T,ROOSEVELT
SARAH RUTH HOLTZ,TAFT,152,COUNTY TREASURER,TAYLOR,T,TAFT
SARAH RUTH HOLTZ,WESTBORO,0,COUNTY TREASURER,TAYLOR,T,WESTBORO
