municipality,reporting_unit,contest,candidate,votes,county,ctv
GREEN LAKE,WARDS 1-2,PRESIDENT/VICE PRESIDENT,"ANDRE RAMONE MCNEIL, SR. (WRITE IN)",0,GREEN LAKE,T
GREEN LAKE,WARDS 1-2,PRESIDENT/VICE PRESIDENT,SCATTERING,5,GREEN LAKE,T
KINGSTON,WARDS 1 - 2,PRESIDENT/VICE PRESIDENT,KAMALA D. HARRIS/TIM WALZ,60,GREEN LAKE,T
KINGSTON,WARDS 1 - 2,PRESIDENT/VICE PRESIDENT,DONALD J. TRUMP/ JD VANCE,263,GREEN LAKE,T
KINGSTON,WARDS 1 - 2,PRESIDENT/VICE PRESIDENT,RANDALL TERRY/STEPHEN BRODEN,1,GREEN LAKE,T
KINGSTON,WARDS 1 - 2,PRESIDENT/VICE PRESIDENT,CHASE RUSSEL OLIVER?MIKE TER MAAT,0,GREEN LAKE,T
KINGSTON,WARDS 1 - 2,PRESIDENT/VICE PRESIDENT,JILL STEIN/RUDOLPH WARE,0,GREEN LAKE,T
KINGSTON,WARDS 1 - 2,PRESIDENT/VICE PRESIDENT,CLAUDIA DE LA CRUZ/KARINA GARCIA,0,GREEN LAKE,T
KINGSTON,WARDS 1 - 2,PRESIDENT/VICE PRESIDENT,CORNEL WEST/MELINA ABDULLAH,0,GREEN LAKE,T
KINGSTON,WARDS 1 - 2,PRESIDENT/VICE PRESIDENT,"ROBERT F. KENNEDY, JR./NICOLE SHANAHAN",1,GREEN LAKE,T
KINGSTON,WARDS 1 - 2,PRESIDENT/VICE PRESIDENT,PETER SONSKI/LAUREN ONAK (WRITE IN),0,GREEN LAKE,T
KINGSTON,WARDS 1 - 2,PRESIDENT/VICE PRESIDENT,CHERUNDA LYNN FOX (WRITE IN),0,GREEN LAKE,T
KINGSTON,WARDS 1 - 2,PRESIDENT/VICE PRESIDENT,BRIAN KIENITZ (WRITE IN),0,GREEN LAKE,T
KINGSTON,WARDS 1 - 2,PRESIDENT/VICE PRESIDENT,DOUG JENKINS/KIMBERLY LALONDE (WRITE IN),0,GREEN LAKE,T
KINGSTON,WARDS 1 - 2,PRESIDENT/VICE PRESIDENT,FUTURE MADAM POTUS/JESSICA KENNEDY (WRITE IN),0,GREEN LAKE,T
KINGSTON,WARDS 1 - 2,PRESIDENT/VICE PRESIDENT,"ANDRE RAMONE MCNEIL, SR. (WRITE IN)",0,GREEN LAKE,T
KINGSTON,WARDS 1 - 2,PRESIDENT/VICE PRESIDENT,SCATTERING,1,GREEN LAKE,T
MACKFORD,WARD 1,PRESIDENT/VICE PRESIDENT,KAMALA D. HARRIS/TIM WALZ,52,GREEN LAKE,T
MACKFORD,WARD 1,PRESIDENT/VICE PRESIDENT,DONALD J. TRUMP/ JD VANCE,250,GREEN LAKE,T
MACKFORD,WARD 1,PRESIDENT/VICE PRESIDENT,RANDALL TERRY/STEPHEN BRODEN,2,GREEN LAKE,T
