reporting_unit,contest,candidate,votes,county,ctv,municipality
TOWN OF DURAND,PRESIDENT_NA,FUTURE MADAME POTUS / JESSICA KENNEDY (IND),0,PEPIN,T,DURAND
TOWN OF DURAND,PRESIDENT_NA,ANDRE MCNEIL (IND),0,PEPIN,T,DURAND
TOWN OF DURAND,UNITED STATES SENATOR_NA,TAMMY BALDWIN (DEM),120,PEPIN,T,DURAND
TOWN OF DURAND,UNITED STATES SENATOR_NA,ERIC HOVDE (REP),316,PEPIN,T,DURAND
TOWN OF DURAND,UNITED STATES SENATOR_NA,PHIL ANDERSON (DISRUPT THE CORRUPTION),4,PEPIN,T,DURAND
TOWN OF DURAND,UNITED STATES SENATOR_NA,THOMAS LEAGER (AMERICA FIRST),7,PEPIN,T,DURAND
TOWN OF DURAND,UNITED STATES SENATOR_NA,JOHN SCHIESS (REGISTERED WRITE-IN) (IND),0,PEPIN,T,DURAND
TOWN OF DURAND,REP. IN CONGRESS DISTRICT 3_NA,REBECCA COOKE (DEM),141,PEPIN,T,DURAND
TOWN OF DURAND,REP. IN CONGRESS DISTRICT 3_NA,DERRICK VAN ORDEN (REP),310,PEPIN,T,DURAND
TOWN OF DURAND,STATE SENATOR DISTRICT 10_NA,PAUL HAMBLETON (DEM),114,PEPIN,T,DURAND
TOWN OF DURAND,STATE SENATOR DISTRICT 10_NA,ROB STAFSHOLT (REP),324,PEPIN,T,DURAND
TOWN OF DURAND,ASSEMBLY REP DISTRICT 29_NA,TERRY SCHOONOVER (DEM),111,PEPIN,T,DURAND
TOWN OF DURAND,ASSEMBLY REP DISTRICT 29_NA,TREIG PRONSHINSKE (REP),328,PEPIN,T,DURAND
TOWN OF DURAND,DISTRICT ATTORNEY_NA,JON D. SEIFERT (DEM),361,PEPIN,T,DURAND
TOWN OF DURAND,COUNTY CLERK_NA,AUDREY BAUER (REP),419,PEPIN,T,DURAND
TOWN OF DURAND,TREASURER_NA,PATRICIA A. SCHARR (REP),414,PEPIN,T,DURAND
TOWN OF DURAND,REGISTER OF DEEDS_NA,LISA TRAUN (REP),373,PEPIN,T,DURAND
TOWN OF DURAND,REGISTER OF DEEDS_NA,DEBRA FISHER (IND),68,PEPIN,T,DURAND
TOWN OF DURAND,STATE REFERENDUM_NA,YES,366,PEPIN,T,DURAND
TOWN OF DURAND,STATE REFERENDUM_NA,NO,78,PEPIN,T,DURAND
