reporting_unit,contest,candidate,votes,county,ctv,municipality
TOWN OF HOLLAND,UNITED STATES SENATOR,WRITE-IN TOTALS,0,LA CROSSE,T,HOLLAND
TOWN OF HOLLAND,REP IN CONGRESS DISTRICT 3,DEM REBECCACOOKE,1308,LA CROSSE,T,HOLLAND
TOWN OF HOLLAND,REP IN CONGRESS DISTRICT 3,REP DERRICK VAN ORDEN,1617,LA CROSSE,T,HOLLAND
TOWN OF HOLLAND,REP IN CONGRESS DISTRICT 3,WRITE-IN TOTALS,0,LA CROSSE,T,HOLLAND
TOWN OF MEDARY WARD 1,UNITED STATES SENATOR,DEM TAMMYBALDWIN,117,LA CROSSE,T,MEDARY
TOWN OF MEDARY WARD 1,UNITED STATES SENATOR,REP ERIC HOVDE,143,LA CROSSE,T,MEDARY
TOWN OF MEDARY WARD 1,UNITED STATES SENATOR,IND PHIL ANDERSON,3,LA CROSSE,T,MEDARY
TOWN OF MEDARY WARD 1,UNITED STATES SENATOR,IND THOMASLEAGER,2,LA CROSSE,T,MEDARY
TOWN OF MEDARY WARD 1,UNITED STATES SENATOR,WRITE-IN TOTALS,0,LA CROSSE,T,MEDARY
TOWN OF MEDARY WARD 1,REP IN CONGRESS DISTRICT 3,DEM REBECCACOOKE,122,LA CROSSE,T,MEDARY
TOWN OF MEDARY WARD 1,REP IN CONGRESS DISTRICT 3,REP DERRICK VAN ORDEN,142,LA CROSSE,T,MEDARY
TOWN OF MEDARY WARD 1,REP IN CONGRESS DISTRICT 3,WRITE-IN TOTALS,0,LA CROSSE,T,MEDARY
TOWN OF MEDARY WARDS 2-3,UNITED STATES SENATOR,DEM TAMMYBALDWIN,454,LA CROSSE,T,MEDARY
TOWN OF MEDARY WARDS 2-3,UNITED STATES SENATOR,REP ERIC HOVDE,414,LA CROSSE,T,MEDARY
TOWN OF MEDARY WARDS 2-3,UNITED STATES SENATOR,IND PHIL ANDERSON,12,LA CROSSE,T,MEDARY
TOWN OF MEDARY WARDS 2-3,UNITED STATES SENATOR,IND THOMASLEAGER,7,LA CROSSE,T,MEDARY
TOWN OF MEDARY WARDS 2-3,UNITED STATES SENATOR,WRITE-IN TOTALS,0,LA CROSSE,T,MEDARY
TOWN OF MEDARY WARDS 2-3,REP IN CONGRESS DISTRICT 3,DEM REBECCACOOKE,460,LA CROSSE,T,MEDARY
TOWN OF MEDARY WARDS 2-3,REP IN CONGRESS DISTRICT 3,REP DERRICK VAN ORDEN,422,LA CROSSE,T,MEDARY
TOWN OF MEDARY WARDS 2-3,REP IN CONGRESS DISTRICT 3,WRITE-IN TOTALS,0,LA CROSSE,T,MEDARY
