reporting_unit,contest,candidate,votes,county,ctv,municipality
T ASHIPPUN W1-4,PRESIDENT/VICE PRESIDENT,DEM HARRIS /WALZ,441,DODGE,T,ASHIPPUN
T ASHIPPUN W1-4,PRESIDENT/VICE PRESIDENT,REP TRUMP /VANCE,1389,DODGE,T,ASHIPPUN
T ASHIPPUN W1-4,PRESIDENT/VICE PRESIDENT,CON TERRY /BRODEN,1,DODGE,T,ASHIPPUN
T ASHIPPUN W1-4,PRESIDENT/VICE PRESIDENT,LIB OLIVER / TERMAAT,11,DODGE,T,ASHIPPUN
T ASHIPPUN W1-4,PRESIDENT/VICE PRESIDENT,WGR STEIN /WARE,5,DODGE,T,ASHIPPUN
T ASHIPPUN W1-4,PRESIDENT/VICE PRESIDENT,IND DE LA CRUZ/ GARCIA,1,DODGE,T,ASHIPPUN
T ASHIPPUN W1-4,PRESIDENT/VICE PRESIDENT,IND WEST / ABDULLAH,1,DODGE,T,ASHIPPUN
T ASHIPPUN W1-4,PRESIDENT/VICE PRESIDENT,"IND KENNEDY, JR. / SHANAHAN",11,DODGE,T,ASHIPPUN
T ASHIPPUN W1-4,PRESIDENT/VICE PRESIDENT,WRITE-IN TOTALS,8,DODGE,T,ASHIPPUN
"T BEAVER DAM W1&2, 7-12",PRESIDENT/VICE PRESIDENT,DEM HARRIS /WALZ,331,DODGE,T,BEAVER DAM
"T BEAVER DAM W1&2, 7-12",PRESIDENT/VICE PRESIDENT,REP TRUMP /VANCE,421,DODGE,T,BEAVER DAM
"T BEAVER DAM W1&2, 7-12",PRESIDENT/VICE PRESIDENT,CON TERRY /BRODEN,0,DODGE,T,BEAVER DAM
"T BEAVER DAM W1&2, 7-12",PRESIDENT/VICE PRESIDENT,LIB OLIVER / TERMAAT,2,DODGE,T,BEAVER DAM
"T BEAVER DAM W1&2, 7-12",PRESIDENT/VICE PRESIDENT,WGR STEIN /WARE,2,DODGE,T,BEAVER DAM
"T BEAVER DAM W1&2, 7-12",PRESIDENT/VICE PRESIDENT,IND DE LA CRUZ/ GARCIA,0,DODGE,T,BEAVER DAM
"T BEAVER DAM W1&2, 7-12",PRESIDENT/VICE PRESIDENT,IND WEST / ABDULLAH,1,DODGE,T,BEAVER DAM
"T BEAVER DAM W1&2, 7-12",PRESIDENT/VICE PRESIDENT,"IND KENNEDY, JR. / SHANAHAN",4,DODGE,T,BEAVER DAM
"T BEAVER DAM W1&2, 7-12",PRESIDENT/VICE PRESIDENT,WRITE-IN TOTALS,0,DODGE,T,BEAVER DAM
T BEAVER DAM W3-6,PRESIDENT/VICE PRESIDENT,DEM HARRIS /WALZ,717,DODGE,T,BEAVER DAM
T BEAVER DAM W3-6,PRESIDENT/VICE PRESIDENT,REP TRUMP /VANCE,981,DODGE,T,BEAVER DAM
T BEAVER DAM W3-6,PRESIDENT/VICE PRESIDENT,CON TERRY /BRODEN,7,DODGE,T,BEAVER DAM
T BEAVER DAM W3-6,PRESIDENT/VICE PRESIDENT,LIB OLIVER / TERMAAT,7,DODGE,T,BEAVER DAM
T BEAVER DAM W3-6,PRESIDENT/VICE PRESIDENT,WGR STEIN /WARE,3,DODGE,T,BEAVER DAM
T BEAVER DAM W3-6,PRESIDENT/VICE PRESIDENT,IND DE LA CRUZ/ GARCIA,1,DODGE,T,BEAVER DAM
T BEAVER DAM W3-6,PRESIDENT/VICE PRESIDENT,IND WEST / ABDULLAH,0,DODGE,T,BEAVER DAM
