rep_unit_2024,pop_per_sq_mi,pop,pop_hisp,pop_white,pop_black,pop_asian,pop_aian,pop_nhpi,pop_other,pop_two,vap,vap_hisp,vap_white,vap_black,vap_asian,vap_aian,vap_nhpi,vap_other,vap_two
EAU CLAIRE - CITY OF EAU CLAIRE WARD 18,1444.815278147617,1135,41,995,16,66,6,0,11,0,896,18,803,7,59,6,0,3,0
EAU CLAIRE - CITY OF EAU CLAIRE WARD 19,331.33780230266365,1119,32,895,28,126,12,0,23,3,882,20,753,10,74,12,0,13,0
EAU CLAIRE - CITY OF EAU CLAIRE WARD 2,7515.384263822206,1259,36,1057,55,75,26,0,7,3,1153,32,969,52,67,25,0,7,1
EAU CLAIRE - CITY OF EAU CLAIRE WARD 20,7148.322654428567,2540,76,2170,52,184,27,2,24,5,2527,72,2167,49,184,24,2,24,5
EAU CLAIRE - CITY OF EAU CLAIRE WARD 21,2009.5246439207592,1159,68,936,21,104,18,0,11,1,976,40,825,17,70,17,0,7,0
EAU CLAIRE - CITY OF EAU CLAIRE WARD 22,2168.106651180099,807,28,670,11,72,11,0,14,1,570,13,498,4,38,6,0,11,0
EAU CLAIRE - CITY OF EAU CLAIRE WARD 23,3024.7602069469294,1208,21,1034,25,91,15,2,19,1,987,11,871,14,61,13,1,15,1
EAU CLAIRE - CITY OF EAU CLAIRE WARD 24,4636.649477422305,1274,41,1103,27,74,11,1,12,5,1151,38,991,26,71,11,1,8,5
EAU CLAIRE - CITY OF EAU CLAIRE WARD 25,4318.114137220035,1205,20,1083,8,72,14,0,7,1,880,10,816,5,31,13,0,4,1
EAU CLAIRE - CITY OF EAU CLAIRE WARD 26,4115.007839677406,1124,39,991,11,63,4,2,10,4,824,27,734,9,44,1,1,6,2
EAU CLAIRE - CITY OF EAU CLAIRE WARD 27,3674.165886754987,1218,25,1100,14,52,21,0,6,0,945,21,866,4,32,17,0,5,0
EAU CLAIRE - CITY OF EAU CLAIRE WARD 28,1903.5318534370576,1602,117,1271,35,141,16,3,18,1,1230,77,1010,17,94,13,2,17,0
EAU CLAIRE - CITY OF EAU CLAIRE WARD 29,4649.018805928047,1216,43,1020,29,80,23,4,10,7,976,34,853,12,51,16,0,9,1
EAU CLAIRE - CITY OF EAU CLAIRE WARD 3,2536.7804466348725,1075,14,974,18,32,15,4,14,4,891,11,819,10,27,11,4,5,4
EAU CLAIRE - CITY OF EAU CLAIRE WARD 30,3546.386325990437,945,44,813,28,30,18,3,5,4,712,23,638,16,19,13,0,3,0
EAU CLAIRE - CITY OF EAU CLAIRE WARD 31,6415.813001198328,1208,32,1035,44,51,37,0,8,1,1065,22,933,29,43,33,0,5,0
EAU CLAIRE - CITY OF EAU CLAIRE WARD 32,3517.4698180458336,1088,27,971,17,29,18,4,21,1,889,19,811,14,19,8,2,15,1
EAU CLAIRE - CITY OF EAU CLAIRE WARD 33,1754.0266297938645,1022,57,793,32,108,14,1,10,7,750,29,623,11,72,10,0,4,1
EAU CLAIRE - CITY OF EAU CLAIRE WARD 34,1536.8328961841137,900,29,743,17,84,9,13,4,1,712,24,604,12,49,9,11,3,0
EAU CLAIRE - CITY OF EAU CLAIRE WARD 35,4095.97643544606,1020,29,881,23,56,13,0,12,6,807,21,723,12,32,7,0,7,5
EAU CLAIRE - CITY OF EAU CLAIRE WARD 36,1478.0746389299732,859,20,753,6,63,5,0,11,1,680,6,611,0,49,5,0,9,0
EAU CLAIRE - CITY OF EAU CLAIRE WARD 37,3541.573298552928,1392,29,1190,24,99,26,0,18,6,1067,19,944,13,59,14,0,14,4
EAU CLAIRE - CITY OF EAU CLAIRE WARD 38,2139.137092276583,831,66,656,33,63,3,1,8,1,651,41,548,20,35,0,1,5,1
EAU CLAIRE - CITY OF EAU CLAIRE WARD 39,1825.196839308884,1619,69,1316,53,141,18,1,19,2,1280,40,1093,32,89,15,1,10,0
EAU CLAIRE - CITY OF EAU CLAIRE WARD 4,1205.632294122438,1231,39,987,35,112,29,2,21,6,1038,22,856,24,89,25,0,19,3
EAU CLAIRE - CITY OF EAU CLAIRE WARD 42,2257.6921191825145,1092,38,878,16,133,17,0,6,4,788,25,653,11,86,6,0,4,3
EAU CLAIRE - CITY OF EAU CLAIRE WARD 43,1832.9199468586432,828,47,682,19,47,18,1,11,3,707,38,596,18,31,12,1,9,2
EAU CLAIRE - CITY OF EAU CLAIRE WARD 44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EAU CLAIRE - CITY OF EAU CLAIRE WARD 45,2930.3334314677877,1053,23,911,15,75,17,1,10,1,764,12,662,9,58,16,0,6,1
EAU CLAIRE - CITY OF EAU CLAIRE WARD 46,4671.64222791799,1224,34,1000,40,87,34,4,22,3,967,21,819,20,56,30,1,18,2
EAU CLAIRE - CITY OF EAU CLAIRE WARD 47,2462.3333418267443,959,24,821,22,57,27,0,5,3,715,13,637,9,31,19,0,4,2
EAU CLAIRE - CITY OF EAU CLAIRE WARD 48,1711.7545165255274,218,27,137,18,22,2,3,4,5,171,16,116,11,21,0,2,4,1
EAU CLAIRE - CITY OF EAU CLAIRE WARD 49,1995.9675164795729,669,22,579,20,42,3,0,2,1,582,16,519,10,31,3,0,2,1
EAU CLAIRE - CITY OF EAU CLAIRE WARD 5,5829.374914730352,1223,61,1042,34,48,26,0,9,3,1112,49,966,26,41,26,0,4,0
EAU CLAIRE - CITY OF EAU CLAIRE WARD 50,4830.947178019265,559,17,496,12,20,8,1,5,0,524,13,470,11,17,7,1,5,0
EAU CLAIRE - CITY OF EAU CLAIRE WARD 51,4207.012869702367,1288,55,1146,31,16,18,1,12,9,983,30,904,12,13,11,1,9,3
EAU CLAIRE - CITY OF EAU CLAIRE WARD 52,3377.9206443398293,1274,58,1071,32,65,19,1,15,13,1078,41,938,24,43,12,1,11,8
EAU CLAIRE - CITY OF EAU CLAIRE WARD 53,1473.96450255131,15,0,10,2,3,0,0,0,0,11,0,8,0,3,0,0,0,0
EAU CLAIRE - CITY OF EAU CLAIRE WARD 54,2952.381127738764,1069,38,889,42,42,35,0,18,5,853,26,744,23,23,21,0,13,3
EAU CLAIRE - CITY OF EAU CLAIRE WARD 55,1930.7397126004296,1627,56,1392,26,102,38,1,6,6,1263,26,1126,15,56,31,0,6,3
EAU CLAIRE - CITY OF EAU CLAIRE WARD 56,2158.206352506886,898,31,763,16,56,26,0,0,6,645,17,574,6,24,19,0,0,5
EAU CLAIRE - CITY OF EAU CLAIRE WARD 57,3729.079488655749,1071,42,900,30,57,20,0,15,7,947,23,839,14,44,12,0,12,3
EAU CLAIRE - CITY OF EAU CLAIRE WARD 58,3638.917646336824,847,28,675,16,67,27,3,28,3,668,8,562,13,47,19,2,16,1
EAU CLAIRE - CITY OF EAU CLAIRE WARD 59,3408.893988791109,1290,43,1118,23,75,10,0,18,3,991,32,882,14,42,7,0,13,1
EAU CLAIRE - CITY OF EAU CLAIRE WARD 6,7538.774218678256,1217,33,1095,20,45,15,0,8,1,1143,27,1036,20,43,8,0,8,1
EAU CLAIRE - CITY OF EAU CLAIRE WARD 60,3214.882335036402,1295,26,1135,29,71,15,4,10,5,1029,17,937,10,45,9,2,9,0
EAU CLAIRE - CITY OF EAU CLAIRE WARD 61,4527.508138879981,1212,32,957,61,96,34,13,10,9,957,18,803,32,62,24,9,7,2
EAU CLAIRE - CITY OF EAU CLAIRE WARD 62,1927.8404177527664,685,10,583,19,53,5,0,15,0,521,6,462,10,28,2,0,13,0
EAU CLAIRE - CITY OF EAU CLAIRE WARD 63,113.6935197898434,6,0,4,0,1,0,0,1,0,4,0,4,0,0,0,0,0,0
EAU CLAIRE - CITY OF EAU CLAIRE WARD 65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EAU CLAIRE - CITY OF EAU CLAIRE WARD 66,942.7051154696484,52,2,49,0,1,0,0,0,0,35,1,33,0,1,0,0,0,0
EAU CLAIRE - CITY OF EAU CLAIRE WARD 67,807.5644682961213,8,0,8,0,0,0,0,0,0,8,0,8,0,0,0,0,0,0
EAU CLAIRE - CITY OF EAU CLAIRE WARD 68,840.5071005577854,4,0,3,0,1,0,0,0,0,2,0,2,0,0,0,0,0,0
EAU CLAIRE - CITY OF EAU CLAIRE WARD 69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EAU CLAIRE - CITY OF EAU CLAIRE WARD 7,1569.7587526611449,1216,35,1064,25,67,16,0,9,0,1080,33,960,10,55,16,0,6,0
EAU CLAIRE - CITY OF EAU CLAIRE WARD 70,3862.48080187922,551,23,453,9,35,7,3,16,5,455,12,399,5,21,6,2,9,1
EAU CLAIRE - CITY OF EAU CLAIRE WARD 71,80.01967863516968,17,2,15,0,0,0,0,0,0,14,0,14,0,0,0,0,0,0
EAU CLAIRE - CITY OF EAU CLAIRE WARD 72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EAU CLAIRE - CITY OF EAU CLAIRE WARD 73,294.1347074687832,14,0,14,0,0,0,0,0,0,11,0,11,0,0,0,0,0,0
EAU CLAIRE - CITY OF EAU CLAIRE WARD 74,348.0190447083984,52,1,43,0,5,1,0,2,0,42,0,34,0,5,1,0,2,0
EAU CLAIRE - CITY OF EAU CLAIRE WARD 75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EAU CLAIRE - CITY OF EAU CLAIRE WARD 76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EAU CLAIRE - CITY OF EAU CLAIRE WARD 77,7153.330389234579,663,16,591,17,23,8,0,3,5,621,14,555,17,22,5,0,3,5
EAU CLAIRE - CITY OF EAU CLAIRE WARD 78,6315.946858283691,151,0,139,3,7,2,0,0,0,113,0,106,2,3,2,0,0,0
EAU CLAIRE - CITY OF EAU CLAIRE WARD 8,1112.314421520003,1229,15,1112,9,57,24,0,12,0,964,6,893,4,29,22,0,10,0
EAU CLAIRE - CITY OF EAU CLAIRE WARD 9,4186.69083560785,1217,58,960,56,83,37,5,9,9,950,36,764,39,62,32,3,6,8
EAU CLAIRE - TOWN OF BRIDGE CREEK WARDS 1-3,23.200777108913258,2358,27,2282,8,1,17,0,18,5,1524,26,1467,4,1,13,0,13,0
EAU CLAIRE - TOWN OF BRUNSWICK WARDS 1-2,52.30458842305856,1907,22,1780,22,41,24,2,14,2,1522,13,1444,12,27,15,2,7,2
EAU CLAIRE - TOWN OF CLEAR CREEK WARDS 1-2,21.601569786044102,778,17,733,3,8,5,0,12,0,594,6,574,2,6,3,0,3,0
EAU CLAIRE - TOWN OF DRAMMEN WARD 1,22.05520613890397,792,12,751,0,13,5,0,6,5,650,6,622,0,11,4,0,2,5
EAU CLAIRE - TOWN OF FAIRCHILD WARD 1,13.02020688127374,450,7,425,1,0,12,0,3,2,295,6,276,0,0,9,0,3,1
EAU CLAIRE - TOWN OF LINCOLN WARDS 1-2,19.426035916580588,1125,25,1053,0,8,4,0,35,0,838,16,800,0,2,3,0,17,0
EAU CLAIRE - TOWN OF LUDINGTON WARDS 1-2,23.33589760325151,1067,10,1011,3,16,14,2,9,2,833,7,793,1,10,10,2,8,2
EAU CLAIRE - TOWN OF OTTER CREEK WARD 1,12.03897484734084,427,7,409,0,0,3,0,8,0,334,4,321,0,0,3,0,6,0
EAU CLAIRE - TOWN OF PLEASANT VALLEY WARDS 1-5,70.01770822028732,3791,65,3475,26,126,48,0,46,5,2847,41,2658,10,71,31,0,31,5
EAU CLAIRE - TOWN OF SEYMOUR WARDS 1-5,107.53458667016524,3338,52,3082,27,72,48,10,39,8,2614,22,2462,12,40,38,10,29,1
EAU CLAIRE - TOWN OF UNION WARDS 1-5,103.1674925005462,2749,51,2446,22,172,20,6,30,2,2159,32,1974,10,108,9,4,20,2
"EAU CLAIRE - TOWN OF WASHINGTON WARDS 1,6-7,9-10,12,14-15,17-18",149.6622009931304,3608,118,3194,57,139,38,3,51,8,2769,74,2513,34,81,24,2,37,4
"EAU CLAIRE - TOWN OF WASHINGTON WARDS 2-5,8,11,13,16,19-21",134.0359276542527,3841,72,3548,16,102,40,2,55,6,2932,39,2747,3,60,34,1,42,6
EAU CLAIRE - TOWN OF WILSON WARD 1,8.98634955225308,427,7,412,0,0,1,1,4,2,324,4,318,0,0,0,0,2,0
EAU CLAIRE - VILLAGE OF FAIRCHILD WARD 1,309.350174127891,451,11,423,1,0,9,0,4,3,360,6,341,1,0,7,0,4,1
EAU CLAIRE - VILLAGE OF FALL CREEK WARDS 1-2,695.4947246460022,1422,27,1316,12,15,35,0,14,3,1033,9,978,3,8,18,0,14,3
EAU CLAIRE - VILLAGE OF LAKE HALLIE WARD 11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FLORENCE - TOWN OF AURORA WARDS 1-3,26.03736082379315,987,10,944,1,5,15,2,10,0,824,4,801,0,3,8,0,8,0
FLORENCE - TOWN OF COMMONWEALTH WARDS 1-4,9.2572280793456585,390,7,368,1,2,3,2,7,0,319,3,307,1,1,1,0,6,0
FLORENCE - TOWN OF FENCE WARD 1,2.0552900920534145,183,5,151,0,4,8,0,14,1,153,4,137,0,2,5,0,5,0
FLORENCE - TOWN OF FERN WARD 1,5.424536321523127,181,1,177,0,1,0,1,0,1,161,1,160,0,0,0,0,0,0
FLORENCE - TOWN OF FLORENCE WARDS 1-7,13.700691696839918,2096,37,1974,6,9,43,3,21,3,1766,20,1692,6,2,33,0,13,0
FLORENCE - TOWN OF HOMESTEAD WARD 1,7.118174341503758,383,5,365,0,3,4,1,3,2,325,4,316,0,1,3,0,1,0
FLORENCE - TOWN OF LONG LAKE WARD 1,5.281097529812901,178,1,169,1,1,3,0,2,1,156,0,152,0,0,1,0,2,1
FLORENCE - TOWN OF TIPLER WARD 1,3.739866852785021,160,0,148,1,0,8,1,2,0,144,0,134,0,0,8,0,2,0
FOND DU LAC - CITY OF FOND DU LAC WARD 1,2009.9600082109812,2093,291,1469,141,120,38,1,17,16,1741,203,1304,105,82,26,1,10,10
FOND DU LAC - CITY OF FOND DU LAC WARD 10,6403.4097890282555,1988,138,1671,94,29,31,1,23,1,1524,88,1333,43,18,20,1,21,0
FOND DU LAC - CITY OF FOND DU LAC WARD 11,8493.30221006694,2012,193,1437,298,13,46,1,11,13,1566,140,1183,181,12,36,0,11,3
FOND DU LAC - CITY OF FOND DU LAC WARD 12,5752.0541086154835,2219,104,1971,64,29,31,1,18,1,1713,65,1565,25,19,24,1,13,1
FOND DU LAC - CITY OF FOND DU LAC WARD 13,4986.215147696683,1680,148,1267,149,52,47,2,13,2,1210,95,970,75,30,30,1,8,1
FOND DU LAC - CITY OF FOND DU LAC WARD 14,2428.6727539931826,1296,46,1173,34,19,17,1,5,1,1083,36,998,18,17,9,0,5,0
FOND DU LAC - CITY OF FOND DU LAC WARD 15,911.5333100497288,2183,131,1700,214,43,73,2,14,6,1900,87,1479,207,39,71,2,10,5
FOND DU LAC - CITY OF FOND DU LAC WARD 16,1705.3085264682586,2112,181,1746,88,51,28,2,10,6,1755,125,1514,51,32,20,1,6,6
FOND DU LAC - CITY OF FOND DU LAC WARD 17,3899.215110484923,1955,91,1678,110,29,27,0,17,3,1492,73,1319,45,14,25,0,15,1
FOND DU LAC - CITY OF FOND DU LAC WARD 18,1972.262432759476,2523,113,2249,31,87,27,1,15,0,1917,64,1744,14,62,22,1,10,0
FOND DU LAC - CITY OF FOND DU LAC WARD 19,4001.859490229586,1767,148,1402,98,62,43,1,7,6,1519,119,1217,79,52,41,1,4,6
FOND DU LAC - CITY OF FOND DU LAC WARD 2,5876.1812801369915,2134,476,1395,167,42,34,0,18,2,1640,310,1184,77,29,31,0,9,0
FOND DU LAC - CITY OF FOND DU LAC WARD 20,2254.4452905623257,2058,136,1801,48,35,19,1,14,4,1609,86,1442,28,24,16,0,12,1
FOND DU LAC - CITY OF FOND DU LAC WARD 21,7299.442163451551,2516,221,2112,70,36,48,0,23,6,1947,139,1700,32,22,37,0,12,5
FOND DU LAC - CITY OF FOND DU LAC WARD 22,3936.891773595461,1639,74,1479,38,23,14,1,9,1,1320,41,1219,18,20,11,1,9,1
FOND DU LAC - CITY OF FOND DU LAC WARD 3,2007.3290721499,1881,125,1595,60,50,41,1,8,1,1455,79,1286,34,17,29,1,8,1
FOND DU LAC - CITY OF FOND DU LAC WARD 4,5672.7110662996965,2008,202,1456,216,64,37,0,25,8,1455,114,1149,99,41,29,0,18,5
FOND DU LAC - CITY OF FOND DU LAC WARD 5,575.919351175323,2696,231,2221,105,54,32,2,44,7,2244,139,1947,58,36,25,1,34,4
FOND DU LAC - CITY OF FOND DU LAC WARD 6,6403.579432046347,1461,78,1213,82,26,35,3,20,4,1122,47,989,33,15,23,3,10,2
FOND DU LAC - CITY OF FOND DU LAC WARD 7,1404.7172239115314,2017,297,1469,104,66,55,2,19,5,1512,186,1173,53,46,43,1,8,2
FOND DU LAC - CITY OF FOND DU LAC WARD 8,6051.176134415941,2043,155,1687,92,32,42,3,23,9,1554,83,1365,46,15,29,1,11,4
FOND DU LAC - CITY OF FOND DU LAC WARD 9,4371.248653681287,2225,253,1595,217,68,54,1,27,10,1753,158,1359,110,57,40,0,24,5
FOND DU LAC - CITY OF RIPON WARD 12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FOND DU LAC - CITY OF RIPON WARDS 1-3,1074.6847917408477,2015,163,1709,41,39,30,5,24,4,1617,108,1415,18,28,26,4,14,4
FOND DU LAC - CITY OF RIPON WARDS 4-6,4234.23057002439,1878,157,1549,101,30,22,5,10,4,1549,125,1279,90,24,17,4,7,3
"FOND DU LAC - CITY OF RIPON WARDS 7,8",1821.967364007124,1850,172,1586,32,20,14,3,20,3,1475,124,1289,25,10,9,0,15,3
FOND DU LAC - CITY OF RIPON WARDS 9-11,1279.138750420047,2120,167,1849,31,14,37,4,12,6,1677,111,1490,24,9,26,0,12,5
FOND DU LAC - CITY OF WAUPUN WARDS 9-12,1460.9828085654328,3230,136,2949,42,29,38,4,31,1,2465,73,2286,25,19,31,2,28,1
FOND DU LAC - TOWN OF ALTO WARDS 1-2,29.18641847839362,1055,32,1007,4,4,3,0,5,0,796,17,767,1,3,3,0,5,0
FOND DU LAC - TOWN OF ASHFORD WARDS 1-3,48.534330668202315,1722,44,1616,8,9,33,1,10,1,1375,27,1316,1,7,15,0,8,1
FOND DU LAC - TOWN OF AUBURN WARDS 1-3,67.17731126862321,2360,38,2258,10,12,29,0,11,2,1900,25,1833,3,6,24,0,9,0
FOND DU LAC - TOWN OF BYRON WARDS 1-2,45.916907006870794,1677,65,1559,5,9,18,1,14,6,1321,38,1253,2,6,15,0,5,2
FOND DU LAC - TOWN OF CALUMET WARDS 1-2,46.829974389976734,1412,42,1333,12,6,12,0,7,0,1139,26,1085,5,4,12,0,7,0
FOND DU LAC - TOWN OF EDEN WARDS 1-3,27.891069001589237,1000,31,943,5,5,7,0,4,5,794,19,758,0,3,7,0,4,3
FOND DU LAC - TOWN OF ELDORADO WARDS 1-3,39.39025155566806,1399,20,1342,4,11,7,0,13,2,1107,14,1066,4,7,6,0,9,1
FOND DU LAC - TOWN OF EMPIRE WARDS 1-4,96.7278218588635,2774,66,2594,16,30,43,0,20,5,2165,34,2046,13,25,33,0,12,2
"FOND DU LAC - TOWN OF FOND DU LAC WARDS 1,2-9",218.44250527180293,3853,150,3540,24,56,34,2,37,10,3132,97,2929,17,32,29,2,20,6
FOND DU LAC - TOWN OF FOREST WARDS 1-2,27.680694185062883,975,21,932,4,4,8,0,6,0,789,10,764,0,4,6,0,5,0
FOND DU LAC - TOWN OF FRIENDSHIP WARDS 1-3,165.4901373513094,2748,210,2423,27,10,38,1,32,7,2224,114,2032,8,5,27,1,31,6
FOND DU LAC - TOWN OF LAMARTINE WARDS 1-2,47.956786373905146,1747,40,1649,10,10,15,0,16,7,1347,28,1292,3,5,5,0,10,4
FOND DU LAC - TOWN OF MARSHFIELD WARDS 1-2,33.01211492473404,1123,20,1089,3,0,6,0,3,2,885,6,871,0,0,4,0,3,1
FOND DU LAC - TOWN OF METOMEN WARDS 1-2,21.549072165243555,746,11,696,9,0,15,5,9,1,584,7,547,4,0,15,3,7,1
FOND DU LAC - TOWN OF OAKFIELD WARDS 1-2,19.116115069471167,681,11,646,0,3,9,0,9,3,523,9,498,0,3,8,0,5,0
FOND DU LAC - TOWN OF OSCEOLA WARDS 1-2,52.48322926529987,1836,38,1752,8,10,13,1,13,1,1457,21,1409,1,7,9,1,8,1
FOND DU LAC - TOWN OF RIPON WARDS 1-2,42.61842767901973,1314,33,1253,1,3,14,1,8,1,1064,20,1025,1,2,11,0,5,0
FOND DU LAC - TOWN OF ROSENDALE WARD 1,20.878778339814332,738,47,662,8,6,8,1,5,1,583,38,526,6,1,7,0,4,1
FOND DU LAC - TOWN OF SPRINGVALE WARD 1,18.82563985594717,675,28,637,0,2,3,0,5,0,520,14,497,0,1,3,0,5,0
FOND DU LAC - TOWN OF TAYCHEEDAH WARDS 1-6,151.91984755276897,4554,92,4326,18,39,47,0,26,6,3575,55,3426,12,24,37,0,15,6
FOND DU LAC - TOWN OF WAUPUN WARDS 1-2,49.49726703608021,1692,37,1610,9,14,10,2,7,3,1340,18,1297,3,8,8,0,4,2
FOND DU LAC - VILLAGE OF BRANDON WARD 1,1084.241844699886,825,74,727,15,3,4,0,1,1,625,41,572,5,2,4,0,0,1
FOND DU LAC - VILLAGE OF CAMPBELLSPORT WARDS 1-4,1374.489456778785,1907,42,1805,9,6,24,0,16,5,1484,21,1422,2,4,20,0,10,5
FOND DU LAC - VILLAGE OF EDEN WARD 1,1474.977503228164,884,91,754,3,8,14,3,10,1,674,51,594,0,5,14,0,9,1
FOND DU LAC - VILLAGE OF FAIRWATER WARD 1,466.9603990214101,346,10,330,4,0,0,0,2,0,265,8,252,3,0,0,0,2,0
FOND DU LAC - VILLAGE OF KEWASKUM WARD 6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FOND DU LAC - VILLAGE OF MOUNT CALVARY WARD 1,519.806394833852,548,8,528,4,1,6,0,1,0,449,5,438,0,1,5,0,0,0
FOND DU LAC - VILLAGE OF NORTH FOND DU LAC WARDS 1-7,2531.050973690975,5384,728,4285,134,98,90,0,41,8,4118,423,3441,79,69,64,0,37,5
FOND DU LAC - VILLAGE OF OAKFIELD WARDS 1-2,1067.3421360734087,1052,22,982,10,14,17,0,6,1,824,12,782,2,13,13,0,1,1
FOND DU LAC - VILLAGE OF ROSENDALE WARDS 1-2,832.365710672794,1039,30,969,12,3,10,1,14,0,792,10,761,5,1,7,1,7,0
FOND DU LAC - VILLAGE OF ST. CLOUD WARD 1,527.6356827313923,489,9,475,1,0,3,0,1,0,394,4,387,0,0,3,0,0,0
FOREST - CITY OF CRANDON WARDS 1-4,328.4146854820015,1713,34,1420,31,0,187,1,19,21,1321,17,1162,23,0,99,1,13,6
FOREST - TOWN OF ALVIN WARD 1,1.440888654988605,164,2,157,0,1,1,0,0,3,150,2,144,0,1,0,0,0,3
FOREST - TOWN OF ARGONNE WARDS 1-2,5.078705507720455,546,5,508,0,4,13,9,3,4,419,3,398,0,4,11,0,2,1
FOREST - TOWN OF ARMSTRONG CREEK WARD 1,8.299779816275962,422,4,390,5,1,15,1,4,2,356,3,333,0,0,14,1,4,1
FOREST - TOWN OF BLACKWELL WARD 1,2.324808506782966,152,4,144,0,0,2,0,2,0,137,4,130,0,0,1,0,2,0
FOREST - TOWN OF CASWELL WARD 1,1.6140961704352774,72,4,66,0,0,2,0,0,0,62,2,59,0,0,1,0,0,0
FOREST - TOWN OF CRANDON WARDS 1-2,17.921344341439898,606,4,552,1,0,47,2,0,0,478,2,444,0,0,31,1,0,0
FOREST - TOWN OF FREEDOM WARD 1,9.572232439045417,324,0,317,1,0,5,0,1,0,289,0,287,0,0,1,0,1,0
FOREST - TOWN OF HILES WARD 1,2.724815694806815,359,3,341,1,3,9,0,2,0,322,2,311,1,3,4,0,1,0
FOREST - TOWN OF LAONA WARDS 1-4,11.788856263812754,1215,16,1080,4,9,85,13,2,6,979,11,901,2,6,40,12,2,5
FOREST - TOWN OF LINCOLN WARDS 1-5,19.502281913976983,1133,32,750,4,1,337,0,4,5,852,9,637,3,1,196,0,3,3
FOREST - TOWN OF NASHVILLE WARDS 1-3,24.09395609322238,890,21,414,2,0,443,0,1,9,639,8,330,0,0,295,0,0,6
FOREST - TOWN OF NASHVILLE WARDS 4-5,10.828541221502764,325,5,312,0,0,7,0,0,1,310,1,303,0,0,5,0,0,1
FOREST - TOWN OF POPPLE RIVER WARD 1,0.8593102981146417,43,7,36,0,0,0,0,0,0,34,1,33,0,0,0,0,0,0
FOREST - TOWN OF ROSS WARD 1,3.4306379842007497,132,1,125,1,0,4,0,1,0,111,1,108,1,0,0,0,1,0
FOREST - TOWN OF WABENO WARDS 1-4,10.04261588721976,1074,13,750,4,4,285,6,8,4,834,7,625,3,2,184,1,8,4
GRANT - CITY OF BOSCOBEL WARDS 1-8,1015.2321762954456,3286,98,2800,274,17,53,8,34,2,2643,79,2214,267,15,36,0,30,2
GRANT - CITY OF CUBA CITY WARDS 1-4,1934.6773156675272,1890,35,1778,11,16,32,0,15,3,1465,27,1386,8,12,21,0,9,2
GRANT - CITY OF FENNIMORE WARDS 1-4,1598.4841552032942,2764,90,2545,23,26,30,2,45,3,2069,57,1939,8,20,17,0,27,1
GRANT - CITY OF LANCASTER WARDS 1-6,1296.7330539908726,3907,54,3704,54,32,32,1,26,4,2931,24,2825,14,19,25,0,21,3
GRANT - CITY OF PLATTEVILLE WARDS 1-2,1649.588600103025,2556,63,2247,115,74,31,0,26,0,1964,42,1770,63,45,26,0,18,0
GRANT - CITY OF PLATTEVILLE WARDS 3-4,3805.248345514925,3075,68,2774,97,94,18,5,18,1,2564,59,2347,65,63,14,0,15,1
GRANT - CITY OF PLATTEVILLE WARDS 5-6,3083.7949760321117,3110,103,2848,49,83,12,3,8,4,2964,99,2728,42,73,12,3,6,1
GRANT - CITY OF PLATTEVILLE WARDS 7-9,1102.2017554382728,3095,137,2741,87,56,31,0,32,11,2745,99,2486,54,49,24,0,25,8
GRANT - TOWN OF BEETOWN WARDS 1-2,15.045652568062795,723,6,707,1,4,1,1,3,0,516,5,508,0,0,1,0,2,0
GRANT - TOWN OF BLOOMINGTON WARD 1,8.898715574009039,331,10,318,1,0,2,0,0,0,271,3,265,1,0,2,0,0,0
GRANT - TOWN OF BOSCOBEL WARDS 1-3,57.749189335086214,379,5,357,3,2,9,0,3,0,305,4,290,0,1,7,0,3,0
GRANT - TOWN OF CASSVILLE WARDS 1-2,13.20545064419759,442,1,439,0,0,2,0,0,0,356,1,353,0,0,2,0,0,0
GRANT - TOWN OF CASTLE ROCK WARD 1,6.712427489318377,240,1,226,0,2,7,0,3,1,199,1,192,0,1,2,0,3,0
GRANT - TOWN OF CLIFTON WARDS 1-2,10.652291457351293,380,1,375,0,1,3,0,0,0,239,1,237,0,0,1,0,0,0
GRANT - TOWN OF ELLENBORO WARD 1,16.08707225340204,580,22,543,5,2,5,0,3,0,427,18,398,4,2,3,0,2,0
GRANT - TOWN OF FENNIMORE WARDS 1-2,17.244781494227663,594,17,573,2,0,2,0,0,0,421,12,407,1,0,1,0,0,0
GRANT - TOWN OF GLEN HAVEN WARD 1,10.60993585513673,363,23,332,0,4,4,0,0,0,294,11,275,0,4,4,0,0,0
GRANT - TOWN OF HARRISON WARD 1,14.673364186145305,529,13,501,3,3,2,0,7,0,389,5,378,3,2,0,0,1,0
