rep_unit_2024,pop_per_sq_mi,pop,pop_hisp,pop_white,pop_black,pop_asian,pop_aian,pop_nhpi,pop_other,pop_two,vap,vap_hisp,vap_white,vap_black,vap_asian,vap_aian,vap_nhpi,vap_other,vap_two
BARRON - TOWN OF BEAR LAKE WARD 1,20.46613252033729,670,18,627,2,0,17,0,4,2,541,8,512,0,0,15,0,4,2
BARRON - TOWN OF CEDAR LAKE WARDS 1-2,34.7006702611629,1076,10,1016,7,2,25,0,14,2,961,5,923,2,2,20,0,8,1
BARRON - TOWN OF CHETEK WARDS 1-3,56.77743154818113,1726,16,1664,1,5,22,2,12,4,1457,8,1420,0,3,12,2,11,1
BARRON - TOWN OF CLINTON WARD 1,24.82509185116395,870,32,806,3,6,15,0,6,2,683,17,643,2,5,13,0,3,0
BARRON - TOWN OF CRYSTAL LAKE WARD 1,23.004172422776627,743,15,708,1,3,8,1,6,1,607,12,579,1,3,6,1,5,0
BARRON - TOWN OF CUMBERLAND WARD 1,26.30237606106827,834,26,775,4,1,12,0,16,0,670,12,631,4,0,9,0,14,0
BARRON - TOWN OF DALLAS WARDS 1-2,16.834088736181993,570,21,523,5,6,10,0,5,0,453,16,415,4,6,8,0,4,0
BARRON - TOWN OF DOVRE WARD 1,23.52299247716782,825,10,780,4,5,5,0,17,4,628,7,596,0,5,5,0,12,3
BARRON - TOWN OF DOYLE WARDS 1-2,13.80934780325343,490,2,465,3,2,3,0,15,0,395,2,378,2,1,3,0,9,0
BARRON - TOWN OF LAKELAND WARDS 1-2,28.700438557051037,938,5,886,1,9,21,2,14,0,772,3,733,1,7,15,0,13,0
BARRON - TOWN OF MAPLE GROVE WARDS 1-2,24.761019984356864,877,37,799,6,8,13,2,10,2,711,27,662,4,6,7,2,3,0
BARRON - TOWN OF MAPLE PLAIN WARD 1,25.5010745922468,844,14,682,3,3,131,1,2,8,680,7,565,1,0,98,1,0,8
BARRON - TOWN OF OAK GROVE WARDS 1-2,27.782981849390943,960,7,924,5,4,17,0,1,2,726,4,697,4,3,16,0,0,2
BARRON - TOWN OF PRAIRIE FARM WARDS 1-2,16.545230588060925,566,5,542,1,2,3,0,13,0,431,3,413,1,1,2,0,11,0
BARRON - TOWN OF PRAIRIE LAKE WARDS 1-2,49.63602179232533,1648,18,1574,5,17,16,1,15,2,1307,13,1255,0,11,12,1,13,2
